name,ra,dec,core_radius (degrees),central_radius (degrees),cluster_radius (degrees),num_core_stars,num_central_stars,num_cluster_stars,distance (PC)
MWSC 4688,23 51 54,-86 43.2,0.020,0.100,0.185,2,22,57,1336
MWSC 5684,12 53 43,-86 38.9,0.020,0.080,0.155,3,19,52,1432
MWSC 5692,17 47 20,-86 36.6,0.025,0.095,0.135,4,18,28,1555
MWSC 4005,00 11 28,-85 28.8,0.012,0.100,0.165,3,26,42,1159
MWSC 4176,14 27 18,-85 25.2,0.025,0.150,0.280,4,53,155,1093
ESO 008-06,14 56 55,-83 26.7,0.025,0.130,0.185,5,46,78,1380
MWSC 4219,15 42 14,-83 11.7,0.015,0.115,0.200,2,36,95,1606
MWSC 5575,01 59 42,-83 03.0,0.015,0.090,0.150,1,10,20,2191
MWSC 4682,23 43 23,-82 57.6,0.020,0.115,0.190,2,22,58,1065
IC 4499,15 00 18,-82 12.8,0.030,0.085,0.140,8,27,50,18804
MWSC 5685,13 05 24,-82 02.6,0.020,0.090,0.160,3,25,64,1581
MWSC 5681,10 41 47,-82 00.3,0.018,0.075,0.115,4,20,41,1700
FSR 1626,12 20 06,-81 30.6,0.020,0.115,0.200,2,32,109,2671
FSR 1631,12 45 43,-81 15.5,0.025,0.110,0.180,5,51,100,1456
FSR 1629,12 34 55,-80 57.0,0.020,0.095,0.170,5,32,78,3597
MWSC 5688,15 25 59,-80 07.8,0.015,0.070,0.105,2,12,25,1236
ESO 026-02,20 26 38,-80 00.0,0.015,0.090,0.160,1,17,44,2473
MWSC 4137,09 26 11,-79 44.4,0.015,0.105,0.180,3,32,83,1209
Mamajek 1,08 41 53,-79 02.7,0.030,0.190,0.420,1,5,19,112
Melotte 227,20 16 48,-79 02.4,0.040,0.180,0.330,5,41,137,2218
MWSC 5679,09 33 00,-78 58.2,0.012,0.085,0.155,1,26,51,1122
MWSC 5572,01 54 18,-78 57.9,0.020,0.070,0.140,2,7,14,1472
MWSC 5749,20 32 10,-78 36.9,0.012,0.090,0.150,3,29,47,1890
ESO 021-06,14 15 52,-78 30.9,0.025,0.090,0.165,3,32,89,2473
MWSC 5672,07 15 20,-78 26.4,0.013,0.075,0.135,1,13,33,1288
Feigelson 1,12 01 12,-78 20.1,0.070,0.600,0.950,1,14,26,117
MWSC 4114,06 07 52,-78 13.2,0.030,0.130,0.240,3,24,60,962
MWSC 5680,09 43 48,-78 12.3,0.020,0.080,0.150,3,22,59,1050
FSR 1607,11 33 00,-77 49.5,0.010,0.085,0.150,2,31,69,1561
MWSC 5698,18 41 49,-77 43.4,0.017,0.080,0.150,2,17,49,2069
FSR 1675,16 10 29,-77 39.6,0.020,0.085,0.135,4,30,53,5666
MWSC 4140,09 36 36,-77 28.8,0.020,0.135,0.225,3,45,112,2465
FSR 1640,13 11 55,-77 27.0,0.020,0.090,0.155,2,36,78,6213
FSR 1579,09 13 41,-77 25.5,0.020,0.085,0.150,5,32,65,1000
Chamaleon I,11 03 36,-77 20.4,0.030,0.220,0.360,2,29,75,380
E 3,09 20 57,-77 16.9,0.010,0.060,0.100,1,13,25,8104
MWSC 4668,22 56 56,-77 10.2,0.030,0.125,0.180,2,15,22,775
FSR 1639,13 09 16,-77 08.1,0.025,0.110,0.195,3,28,80,7943
NGC 1520,03 57 52,-76 48.0,0.020,0.090,0.130,1,8,10,1023
FSR 1577,09 28 46,-76 05.1,0.018,0.085,0.150,5,32,81,1561
FSR 1598,11 23 06,-75 00.9,0.018,0.060,0.110,7,21,58,3575
MWSC 5676,08 41 55,-74 45.9,0.018,0.085,0.145,4,26,58,1604
ESO 043-13,17 04 44,-74 21.0,0.020,0.090,0.140,2,31,73,1490
FSR 1647,13 45 41,-73 57.6,0.030,0.095,0.170,6,34,96,2436
FSR 1642,13 22 48,-73 34.5,0.015,0.080,0.130,1,30,78,3211
MWSC 4138,09 27 07,-73 30.0,0.025,0.120,0.185,7,51,103,1908
MWSC 5671,07 05 06,-73 22.8,0.020,0.105,0.210,2,28,64,2001
FSR 1692,16 45 14,-72 49.9,0.010,0.070,0.115,2,24,65,1781
FSR 1566,09 50 35,-72 45.7,0.015,0.085,0.140,2,29,72,1537
NGC 4372,12 25 45,-72 39.5,0.035,0.200,0.330,2,166,406,5807
NGC 6101,16 25 48,-72 12.1,0.025,0.075,0.125,1,16,45,15405
FSR 1667,14 21 41,-72 05.1,0.015,0.095,0.155,3,57,140,5175
NGC 104,00 24 01,-72 04.9,0.200,0.530,0.950,70,394,598,4501
FSR 1638,13 01 07,-71 23.7,0.018,0.060,0.120,3,23,53,7702
ESO 065-07,13 29 10,-71 15.9,0.012,0.065,0.110,3,33,67,3477
NGC 4833,12 59 34,-70 52.6,0.040,0.140,0.205,2,60,123,6595
NGC 362,01 03 18,-70 50.8,0.055,0.145,0.235,4,35,55,8603
FSR 1658,13 55 03,-70 45.0,0.018,0.075,0.147,7,46,136,4239
MWSC 5691,17 26 10,-70 44.1,0.015,0.055,0.100,3,13,39,2241
NGC 1557,04 13 08,-70 27.9,0.030,0.120,0.220,1,9,20,1820
NGC 5359,14 00 00,-70 24.0,0.018,0.090,0.170,2,18,59,2221
MWSC 5674,08 06 34,-70 19.5,0.018,0.065,0.115,3,20,43,1803
FSR 1572,10 23 40,-69 49.5,0.018,0.062,0.120,2,15,56,3494
ASCC 69,12 06 18,-69 46.8,0.025,0.140,0.275,3,71,239,774
ESO 065-03,12 51 18,-69 43.8,0.025,0.085,0.140,5,38,87,3047
ASCC 51,09 18 05,-69 41.4,0.040,0.290,0.450,6,70,157,496
FSR 1661,13 57 56,-69 21.9,0.012,0.060,0.100,4,32,79,4331
ESO 062-08,10 21 40,-69 20.9,0.012,0.060,0.100,1,11,27,1983
FSR 1568,10 24 47,-69 04.2,0.020,0.075,0.140,7,31,92,1871
ESO 062-11,10 38 56,-69 02.1,0.020,0.090,0.140,3,46,97,2695
FSR 1593,11 27 50,-68 44.1,0.025,0.075,0.140,13,44,120,1825
MWSC 4483,19 17 08,-68 31.5,0.015,0.150,0.235,2,46,113,1397
ESO 064-05,12 24 43,-68 29.1,0.015,0.110,0.160,2,56,110,1239
NGC 1901,05 18 14,-68 26.4,0.020,0.185,0.335,2,53,134,406
ASCC 78,15 05 37,-68 24.3,0.020,0.100,0.155,3,35,88,3241
Collinder 261,12 38 06,-68 22.0,0.030,0.140,0.235,15,172,421,2683
FSR 1650,13 35 39,-68 06.8,0.012,0.090,0.155,2,45,116,4103
Ruprecht 163,11 04 53,-67 56.6,0.010,0.040,0.090,4,14,60,3019
FSR 1554,09 58 49,-67 44.3,0.012,0.060,0.110,4,26,64,1513
FSR 1654,13 42 05,-67 42.0,0.010,0.055,0.095,1,12,35,4015
ASCC 71,12 20 46,-67 31.8,0.020,0.115,0.235,5,61,228,1209
Ruprecht 110,14 05 38,-67 28.5,0.012,0.100,0.185,2,52,182,1241
NGC 2348,07 03 04,-67 23.4,0.030,0.095,0.160,3,16,43,1076
ASCC 73,12 36 22,-67 15.0,0.022,0.140,0.245,4,48,125,650
vdBergh-Hagen 140,12 53 17,-67 10.2,0.015,0.060,0.110,2,26,86,5229
FSR 1597,11 44 35,-67 05.1,0.018,0.090,0.165,2,23,70,2879
Collinder 268,13 18 16,-67 04.5,0.025,0.060,0.115,7,22,64,1811
NGC 6362,17 31 55,-67 02.9,0.030,0.140,0.230,0,41,113,7600
FSR 1623,12 36 08,-66 56.5,0.018,0.075,0.135,4,37,113,6915
MWSC 5694,17 57 22,-66 48.0,0.012,0.060,0.110,1,16,32,1570
ASCC 57,10 10 55,-66 42.0,0.020,0.150,0.215,4,107,257,1483
FSR 1656,13 41 20,-66 38.2,0.018,0.060,0.105,8,25,86,5087
FSR 1514,07 58 32,-66 37.8,0.020,0.085,0.135,2,16,30,2754
FSR 1617,12 28 32,-66 33.6,0.018,0.110,0.171,3,47,105,1828
ASCC 76,13 52 14,-66 24.3,0.025,0.115,0.220,5,50,174,1025
vdBergh-Hagen 164,14 47 38,-66 23.4,0.025,0.250,0.370,1,43,110,501
Collinder 269,13 23 51,-66 09.6,0.020,0.125,0.210,6,49,129,1870
Alessi 6,14 40 32,-66 07.2,0.020,0.235,0.390,2,127,340,613
Collinder 277,13 48 14,-66 04.5,0.020,0.080,0.130,2,14,34,2204
vdBergh-Hagen 144,13 15 16,-65 55.2,0.015,0.045,0.060,0,21,31,7241
NGC 1641,04 35 26,-65 44.4,0.030,0.160,0.260,2,33,78,985
DBSB 72,11 45 57,-65 33.3,0.012,0.050,0.077,2,22,37,4494
DBSB 88,14 19 37,-65 25.9,0.016,0.050,0.085,2,8,20,1366
Loden 1002,13 54 36,-65 20.1,0.018,0.085,0.140,3,30,92,1332
Loden 757,13 12 00,-65 18.0,0.020,0.110,0.160,4,26,70,1340
Ruprecht 84,09 49 08,-65 14.4,0.020,0.100,0.180,6,58,171,1546
ESO 093-08,11 19 41,-65 13.0,0.010,0.038,0.070,0,9,32,13797
FSR 1605,12 07 39,-65 11.1,0.015,0.055,0.105,3,20,97,4430
Melotte 101,10 42 16,-65 05.7,0.035,0.140,0.230,14,132,248,1999
FSR 1584,11 09 13,-65 03.6,0.020,0.075,0.130,6,27,68,2241
NGC 4815,12 58 01,-64 57.6,0.025,0.065,0.105,9,39,69,2990
Ruprecht 107,13 19 46,-64 57.0,0.018,0.050,0.075,2,12,25,1454
Loden 995,13 54 18,-64 57.0,0.020,0.105,0.165,5,47,116,1481
FSR 1685,14 57 14,-64 56.7,0.010,0.055,0.085,2,17,50,1513
DBSB 73,11 50 10,-64 52.2,0.020,0.035,0.050,5,14,26,4532
NGC 2808,09 12 03,-64 51.8,0.040,0.150,0.260,1,82,215,9612
ESO 099-06,15 29 48,-64 51.0,0.020,0.065,0.105,5,25,57,1274
FSR 1693,15 25 50,-64 49.2,0.025,0.085,0.140,6,36,87,3743
ESO 092-05,10 03 13,-64 47.7,0.010,0.045,0.085,1,13,38,5168
NGC 4463,12 29 56,-64 47.4,0.020,0.080,0.140,8,46,133,1115
Loden 615,12 20 41,-64 46.5,0.020,0.135,0.245,3,56,150,826
FSR 1678,14 44 35,-64 44.4,0.020,0.095,0.140,3,39,85,1791
NGC 5288,13 48 44,-64 41.7,0.018,0.060,0.120,4,34,123,5086
FSR 1541,09 46 52,-64 37.9,0.010,0.060,0.110,1,17,56,3575
ESO 097-15,14 15 25,-64 37.8,0.020,0.080,0.120,3,19,61,3274
ESO 092-18,10 14 47,-64 35.4,0.010,0.050,0.075,3,16,35,9548
Ruprecht 98,11 58 52,-64 35.3,0.020,0.140,0.280,1,33,131,610
Loden 848,13 34 23,-64 33.0,0.025,0.110,0.225,3,38,162,1797
FSR 1641,13 04 41,-64 32.7,0.025,0.075,0.110,4,29,48,1934
FSR 1585,11 13 51,-64 28.6,0.012,0.075,0.125,2,46,122,4465
ASCC 82,15 47 02,-64 24.7,0.020,0.110,0.210,2,33,135,800
IC 2602,10 41 46,-64 24.0,0.090,0.800,1.480,18,935,3229,151
ASCC 70,12 14 49,-64 24.0,0.025,0.140,0.280,6,122,460,2652
ASCC 56,10 08 19,-64 22.8,0.040,0.235,0.320,9,165,317,797
Loden 894,13 39 41,-64 19.2,0.015,0.070,0.120,2,26,81,1423
MWSC 4463,18 58 55,-64 15.9,0.025,0.130,0.210,4,49,125,1406
Collinder 271,13 30 07,-64 12.0,0.015,0.070,0.110,3,17,35,2588
Juchert 13,12 01 41,-64 06.0,0.015,0.055,0.100,3,18,51,2795
vdBergh-Hagen 132,12 27 00,-64 04.0,0.020,0.100,0.180,8,89,236,1859
Ruprecht 99,12 03 29,-63 51.6,0.012,0.120,0.210,1,46,120,719
vdBergh-Hagen 111,11 09 07,-63 49.8,0.020,0.110,0.180,4,31,78,2634
NGC 6588,18 20 31,-63 48.6,0.020,0.090,0.140,4,29,68,4757
DBSB 79,12 48 47,-63 43.7,0.012,0.045,0.085,5,18,62,1489
Teutsch 79,13 23 39,-63 38.3,0.015,0.060,0.100,3,19,49,1461
Saurer 4,12 14 01,-63 35.4,0.015,0.030,0.045,3,6,16,5179
IC 2948,11 39 13,-63 30.6,0.020,0.100,0.170,7,44,130,2796
Ruprecht 94,11 30 32,-63 28.8,0.035,0.120,0.230,14,118,360,2932
Melotte 105,11 19 41,-63 28.5,0.020,0.090,0.160,10,87,178,2202
NGC 5155,13 29 53,-63 27.3,0.015,0.105,0.165,4,56,108,1404
FSR 1616,12 29 19,-63 25.8,0.012,0.075,0.130,3,52,142,1963
NGC 5045,13 14 31,-63 25.2,0.025,0.155,0.315,3,120,409,1662
Platais 12,13 52 35,-63 24.3,0.050,0.350,0.570,18,333,751,491
Loden 1375,14 44 20,-63 24.3,0.012,0.085,0.145,2,36,103,1819
vdBergh-Hagen 131,12 26 10,-63 24.0,0.010,0.045,0.090,2,21,71,4430
vdBergh-Hagen 121,11 38 06,-63 20.3,0.020,0.095,0.165,3,55,143,2937
vdBergh-Hagen 150,13 37 53,-63 19.2,0.020,0.060,0.100,5,25,69,1537
DBSB 69,11 33 49,-63 17.1,0.012,0.042,0.070,4,11,25,2273
DBSB 75,12 08 55,-63 16.2,0.010,0.050,0.080,2,25,54,4564
FSR 1622,12 37 59,-63 15.6,0.018,0.065,0.125,5,40,110,6017
NGC 4052,12 01 16,-63 12.9,0.012,0.085,0.150,1,59,197,1210
SAI 118,13 43 10,-63 09.6,0.012,0.085,0.140,2,70,162,1602
DBSB 55,10 42 31,-63 09.4,0.010,0.055,0.090,2,13,25,5308
Ruprecht 88,10 18 48,-63 08.2,0.018,0.085,0.130,1,33,80,1876
DBSB 68,11 28 52,-63 06.3,0.010,0.045,0.070,1,13,29,1777
Hogg 15,12 43 35,-63 05.9,0.012,0.038,0.075,5,13,67,3078
FSR 1653,13 33 50,-63 02.4,0.020,0.075,0.120,5,30,83,3258
Graham 1,10 56 32,-63 01.0,0.012,0.045,0.090,3,16,62,2577
Ruprecht 101,12 09 34,-63 00.3,0.020,0.120,0.190,3,100,231,2856
Dias 4,13 43 25,-63 00.0,0.020,0.080,0.130,1,28,68,2155
NGC 4609,12 42 18,-62 59.4,0.025,0.090,0.155,8,61,149,1308
IC 2944,11 36 13,-62 57.0,0.022,0.120,0.200,6,39,88,2098
NGC 5281,13 46 34,-62 55.5,0.035,0.115,0.215,14,124,371,1211
Cir OB1,14 45 00,-62 55.5,0.040,0.240,0.350,9,293,644,1783
DBSB 129,12 15 27,-62 54.6,0.015,0.035,0.050,5,23,38,6976
NGC 5269,13 44 44,-62 53.5,0.020,0.080,0.160,5,57,190,1634
Loden 1373,14 41 35,-62 53.4,0.025,0.115,0.170,5,40,89,3412
MWSC 5696,18 11 16,-62 48.9,0.011,0.065,0.120,1,15,36,2308
Trumpler 21,13 32 13,-62 48.0,0.025,0.085,0.160,4,49,144,1270
FSR 1694,15 15 13,-62 46.5,0.020,0.090,0.130,3,34,60,9537
DBSB 83,13 11 20,-62 45.3,0.010,0.040,0.060,3,26,48,3360
IC 2714,11 17 28,-62 44.4,0.025,0.120,0.195,13,215,494,1224
Ruprecht 102,12 13 34,-62 43.8,0.018,0.100,0.160,9,86,252,1609
FSR 1591,11 36 58,-62 43.4,0.012,0.065,0.115,1,25,78,1538
Ruprecht 97,11 57 23,-62 42.6,0.013,0.045,0.090,2,13,47,1537
Danks 1,13 12 31,-62 42.5,0.015,0.035,0.050,4,13,20,1873
NGC 3036,09 49 16,-62 40.2,0.020,0.080,0.140,3,29,74,1268
Danks 2,13 12 54,-62 40.0,0.020,0.040,0.065,6,15,26,2231
DBSB 85,13 18 27,-62 39.9,0.015,0.035,0.065,3,7,33,2024
FSR 1595,11 47 01,-62 39.0,0.012,0.070,0.140,5,56,196,4416
ASCC 89,17 23 20,-62 39.0,0.075,0.460,0.750,5,108,272,567
Ruprecht 100,12 05 46,-62 37.0,0.018,0.090,0.155,2,46,111,2589
Teutsch 77,11 53 29,-62 36.3,0.015,0.070,0.110,5,26,42,1920
Ruprecht 112,14 56 56,-62 34.4,0.020,0.100,0.160,5,80,195,1764
DBSB 131,13 11 39,-62 33.2,0.020,0.035,0.060,5,18,47,3298
Stock 14,11 43 48,-62 31.2,0.012,0.095,0.170,1,52,199,2454
Lynga 15,11 42 14,-62 30.6,0.020,0.080,0.125,7,49,97,1380
Stock 16,13 18 47,-62 30.6,0.020,0.095,0.185,3,34,113,1630
Loden 807,13 24 38,-62 29.7,0.020,0.115,0.180,4,85,195,703
DBSB 60,11 05 37,-62 29.1,0.010,0.040,0.055,2,22,32,3740
FSR 1659,13 38 01,-62 29.1,0.020,0.090,0.160,4,63,186,1764
Loden 467,11 45 30,-62 26.0,0.017,0.075,0.115,3,37,68,2569
Bica 5,11 41 35,-62 25.5,0.012,0.060,0.105,4,32,91,1687
C1331-622,13 34 37,-62 25.0,0.018,0.075,0.120,7,53,116,1078
DBSB 133,13 14 00,-62 24.1,0.014,0.060,0.110,4,42,100,2927
ASCC 75,13 47 15,-62 24.0,0.020,0.090,0.160,4,56,181,2948
Basel 18,13 27 52,-62 19.8,0.020,0.095,0.155,1,26,57,2226
ASCC 77,14 10 48,-62 19.8,0.020,0.150,0.265,3,188,536,2041
FSR 1586,11 22 41,-62 19.2,0.018,0.080,0.140,8,66,140,2863
Ruprecht 162,10 52 50,-62 18.3,0.025,0.085,0.135,6,17,34,3019
DBSB 70,11 48 32,-62 17.1,0.015,0.055,0.080,3,19,42,1274
SAI 116,11 49 17,-62 13.5,0.010,0.060,0.100,2,35,70,2382
MWSC 5697,18 24 36,-62 11.7,0.020,0.065,0.125,4,21,64,1496
ESO 132-14,13 36 32,-62 11.4,0.018,0.050,0.100,3,23,89,1093
Ruprecht 96,11 50 47,-62 09.0,0.018,0.077,0.125,7,45,98,1251
Lynga 1,14 00 00,-62 09.0,0.012,0.085,0.155,3,75,197,1312
FSR 1630,12 48 43,-62 08.1,0.020,0.070,0.135,7,38,145,2368
Pismis 18,13 36 56,-62 03.9,0.012,0.085,0.150,2,51,125,2309
Loden 1282,14 15 50,-59 07.2,0.012,0.090,0.135,2,77,153,1349
Loden 991,13 45 16,-62 02.1,0.020,0.070,0.110,7,54,149,2628
Loden 1339,14 33 29,-62 01.0,0.012,0.055,0.095,3,23,56,1278
FSR 1645,13 21 07,-61 55.5,0.020,0.100,0.170,8,95,264,1278
NGC 4349,12 24 14,-61 52.2,0.025,0.105,0.205,15,129,390,2155
NGC 5316,13 53 56,-61 52.2,0.040,0.165,0.260,19,262,570,1208
DBSB 78,12 36 04,-61 51.3,0.015,0.043,0.070,3,11,25,4569
Loden 213,10 36 09,-61 50.2,0.012,0.070,0.125,1,26,74,1876
Loden 624,12 26 19,-61 48.0,0.030,0.200,0.320,14,398,999,1423
FSR 1669,13 56 17,-61 45.0,0.012,0.075,0.120,4,53,140,1105
Loden 1101,13 58 10,-61 45.0,0.012,0.080,0.155,4,57,184,2088
ESO 137-43,16 48 25,-61 45.0,0.010,0.060,0.090,1,26,50,1659
Kronberger 39,10 54 14,-61 44.0,0.012,0.035,0.052,0,6,7,4372
ESO 137-23,16 24 31,-61 44.0,0.018,0.080,0.130,3,29,85,1561
vdBergh-Hagen 151,13 40 16,-61 43.8,0.014,0.045,0.065,3,22,57,3572
Bochum 12,10 57 22,-61 43.5,0.020,0.075,0.145,5,16,50,2485
Loden 1409,14 44 40,-61 42.9,0.035,0.150,0.260,10,147,409,2088
Ruprecht 92,10 53 31,-61 42.0,0.025,0.085,0.155,5,22,58,2211
DBSB 77,12 34 59,-61 39.2,0.010,0.028,0.045,2,10,30,5417
DBSB 53,10 32 44,-61 37.2,0.010,0.055,0.100,1,16,35,3438
NGC 3766,11 36 18,-61 36.9,0.022,0.115,0.230,16,141,366,1685
Trumpler 11,10 04 54,-61 36.0,0.018,0.075,0.120,2,14,18,3884
DBSB 80,12 50 23,-61 34.9,0.015,0.040,0.070,0,11,32,2132
Ruprecht 105,12 33 54,-61 34.5,0.035,0.115,0.195,11,118,312,1250
FSR 1668,13 54 54,-61 34.5,0.018,0.075,0.140,6,66,216,1184
DBSB 66,11 16 26,-61 29.1,0.018,0.037,0.055,7,24,47,7511
vdBergh-Hagen 110,11 07 16,-61 27.6,0.010,0.050,0.085,1,12,23,1879
FSR 1666,13 48 36,-61 27.3,0.020,0.110,0.195,6,64,255,2677
Loden 1256,14 18 00,-61 25.5,0.035,0.115,0.190,9,112,302,1226
Ruprecht 93,11 04 12,-61 22.2,0.015,0.080,0.135,3,43,84,1619
Hogg 17,14 33 59,-61 20.8,0.018,0.070,0.125,4,54,151,1148
