name,ra,dec,core_radius (degrees),central_radius (degrees),cluster_radius (degrees),num_core_stars,num_central_stars,num_cluster_stars,distance (PC)
FSR 1429,08 37 38,-46 01.0,0.010,0.065,0.090,1,18,37,3371
FSR 1723,15 55 07,-46 00.6,0.030,0.085,0.155,17,71,182,1513
Bochum 7,08 44 46,-45 58.8,0.015,0.085,0.190,2,10,39,6059
NGC 6250,16 57 58,-45 57.0,0.035,0.160,0.255,17,148,382,940
FSR 1573,11 44 04,-45 55.5,0.015,0.110,0.170,2,36,74,2020
ESO 245-09,01 53 43,-45 55.2,0.025,0.230,0.370,1,27,51,1380
DBSB 108,17 11 19,-45 54.0,0.015,0.045,0.060,3,10,21,1620
vdBergh-Hagen 197,16 46 30,-45 51.0,0.015,0.060,0.085,3,23,34,2069
Westerlund 1,16 47 04,-45 50.0,0.012,0.050,0.085,2,10,13,7686
FSR 1464,09 21 47,-45 45.6,0.015,0.053,0.115,6,24,89,2220
FSR 1574,11 44 42,-45 39.6,0.020,0.095,0.180,2,31,93,1389
DBSB 173,16 40 15,-45 39.6,0.010,0.038,0.060,4,23,47,4526
NGC 6178,16 35 47,-45 37.5,0.020,0.115,0.190,4,54,143,1011
FSR 1705,15 04 16,-45 33.0,0.018,0.040,0.070,6,14,32,1582
ASCC 85,16 47 49,-45 29.4,0.022,0.125,0.235,5,80,227,806
FSR 1434,08 45 29,-45 24.1,0.012,0.085,0.170,3,93,298,1367
Ruprecht 156,08 19 34,-45 21.0,0.010,0.060,0.100,3,20,52,2720
DBSB 174,16 48 11,-45 21.0,0.010,0.030,0.050,1,11,26,1710
ESO 265-01,11 00 56,-45 20.4,0.030,0.085,0.150,2,17,41,3162
DBSB 106,16 54 22,-45 17.9,0.015,0.040,0.062,6,21,50,3490
FSR 1757,18 17 02,-45 15.0,0.010,0.055,0.100,3,20,57,1397
ESO 252-14,05 15 58,-45 14.4,0.015,0.060,0.120,3,7,16,2180
Lynga 14,16 54 59,-45 14.4,0.010,0.055,0.095,5,47,106,1327
Moitinho 1,08 19 17,-45 12.5,0.010,0.045,0.085,1,14,23,1146
NGC 3446,10 52 17,-45 07.5,0.030,0.125,0.205,5,50,138,2001
Pismis 12,09 20 00,-45 06.6,0.010,0.060,0.115,2,43,103,2221
NGC 2659,08 42 34,-44 59.1,0.020,0.085,0.120,4,89,159,1713
MWSC 4178,14 27 38,-44 56.7,0.020,0.115,0.180,3,46,94,3515
NGC 6249,16 57 36,-44 48.0,0.025,0.120,0.190,9,125,285,1113
NGC 6388,17 36 17,-44 44.2,0.050,0.140,0.220,2,136,336,9889
NGC 6222,16 50 28,-44 43.8,0.025,0.060,0.100,20,89,226,3308
FSR 1415,08 40 23,-44 43.5,0.018,0.075,0.120,8,37,48,3473
NGC 6216,16 49 21,-44 43.2,0.012,0.070,0.140,5,86,296,3355
NGC 2220,06 20 53,-44 42.0,0.010,0.070,0.125,2,12,27,1393
NGC 6259,17 00 54,-44 41.4,0.020,0.100,0.170,6,97,254,1855
FSR 1377,07 18 18,-44 40.2,0.016,0.065,0.115,3,12,32,4640
ESO 261-07,09 24 36,-44 40.2,0.010,0.060,0.110,3,24,70,3360
vdBergh-Hagen 34,08 31 12,-44 30.3,0.020,0.077,0.150,6,41,150,950
Pismis 4,08 34 41,-44 29.7,0.010,0.095,0.150,2,37,64,575
Ruprecht 154,08 01 44,-44 25.4,0.010,0.050,0.085,1,16,37,3160
vdBergh-Hagen 54,08 49 41,-44 22.0,0.010,0.052,0.115,3,45,138,1239
FSR 1543,11 14 51,-44 19.8,0.010,0.105,0.165,1,40,76,2662
NGC 6496,17 59 04,-44 16.0,0.030,0.077,0.125,3,37,88,11307
FSR 1430,08 51 52,-44 15.2,0.012,0.055,0.110,4,35,84,6737
vdBergh-Hagen 200,16 49 56,-44 12.3,0.010,0.070,0.115,3,37,116,1633
ESO 281-24,18 39 59,-44 11.4,0.011,0.065,0.110,2,22,44,3830
FSR 1432,08 52 56,-44 11.1,0.015,0.055,0.100,3,18,67,1904
FSR 1412,08 37 17,-44 07.9,0.015,0.080,0.115,4,46,76,2644
Ruprecht 81,09 45 12,-44 06.0,0.015,0.055,0.115,2,18,57,3009
Ruprecht 65,08 39 16,-44 04.2,0.015,0.085,0.155,4,32,106,786
FSR 1699,14 39 40,-44 04.2,0.025,0.100,0.155,6,49,112,1953
Ruprecht 80,09 42 04,-44 01.2,0.015,0.070,0.110,4,26,54,2183
NGC 6169,16 34 07,-44 01.0,0.020,0.070,0.110,3,21,60,1007
FSR 1418,08 47 39,-43 59.9,0.018,0.070,0.140,7,40,154,1249
FSR 1442,09 02 48,-43 57.6,0.010,0.060,0.085,2,36,55,1186
FSR 1481,09 59 20,-43 54.5,0.020,0.075,0.155,9,30,97,4104
DBSB 27,08 46 39,-43 53.0,0.010,0.042,0.065,1,13,27,2479
FSR 1411,08 34 23,-43 51.6,0.025,0.095,0.200,5,34,110,912
FSR 1424,08 50 38,-43 49.9,0.015,0.065,0.100,3,34,73,1829
FSR 1435,08 57 05,-43 45.9,0.025,0.100,0.230,4,18,61,1296
ESO 277-04,16 40 24,-43 44.4,0.010,0.050,0.075,2,24,43,1790
NGC 6541,18 08 02,-43 42.9,0.055,0.125,0.230,5,37,136,7499
FSR 1634,12 54 27,-43 40.8,0.025,0.100,0.170,3,41,97,6310
Pismis 10,09 02 38,-43 38.2,0.015,0.050,0.085,3,26,46,8835
vdBergh-Hagen 37,08 35 47,-43 37.1,0.010,0.060,0.120,4,23,55,5202
Platais 9,09 11 49,-43 31.8,0.140,1.020,2.100,27,518,2277,200
FSR 1635,12 54 57,-43 30.2,0.025,0.100,0.165,3,34,81,6271
Lynga 13,16 48 56,-43 25.7,0.010,0.045,0.075,4,23,51,3412
DBSB 175,16 52 35,-43 23.8,0.010,0.035,0.060,2,16,36,3798
Ruprecht 67,08 41 46,-43 23.7,0.018,0.080,0.170,7,65,227,1342
NGC 6192,16 40 21,-43 21.6,0.040,0.125,0.235,34,141,280,1619
vdBergh-Hagen 56,08 57 07,-43 17.1,0.015,0.075,0.125,2,20,48,737
NGC 3680,11 25 37,-43 14.1,0.020,0.095,0.190,3,40,100,946
FSR 1672,13 38 01,-43 10.8,0.020,0.085,0.155,2,30,76,3020
FSR 1511,10 39 58,-43 07.4,0.020,0.100,0.190,3,31,65,2473
NGC 6322,17 18 27,-42 55.8,0.020,0.105,0.145,4,66,101,1089
MWSC 5604,03 09 49,-42 52.8,0.017,0.100,0.200,1,7,17,1437
FSR 1684,13 57 31,-42 52.2,0.020,0.090,0.160,1,20,57,2733
ESO 311-14,07 49 24,-42 41.1,0.012,0.070,0.140,2,21,70,1278
ESO 282-26,19 13 44,-42 37.8,0.025,0.130,0.195,3,59,136,1509
FSR 1421,08 58 06,-42 36.0,0.010,0.040,0.085,1,7,17,1268
DBSB 176,16 59 26,-42 34.5,0.012,0.050,0.085,2,10,18,7693
Trumpler 10,08 47 29,-42 24.0,0.030,0.220,0.390,8,98,291,417
FSR 1744,16 51 32,-42 23.6,0.018,0.075,0.120,5,57,135,1844
ESO 309-03,06 50 39,-42 23.0,0.015,0.060,0.110,2,13,26,2057
FSR 1401,08 37 03,-42 21.9,0.015,0.065,0.115,4,45,122,4178
FSR 1406,08 38 17,-42 21.0,0.010,0.060,0.117,2,53,168,3208
DBSB 177,17 04 17,-42 20.0,0.015,0.040,0.075,7,39,100,2601
MWSC 5744,20 20 20,-42 14.7,0.023,0.070,0.115,4,15,33,1836
FSR 1475,09 54 34,-42 14.1,0.018,0.100,0.200,3,40,136,2662
ESO 334-02,17 36 57,-42 14.1,0.012,0.060,0.110,3,25,65,3210
MWSC 5665,06 10 26,-42 12.6,0.025,0.085,0.140,4,17,27,934
FSR 1734,16 19 05,-42 07.7,0.015,0.070,0.110,6,57,133,3481
FSR 1773,18 53 14,-42 07.5,0.018,0.085,0.135,3,28,66,1312
Teutsch 84,17 04 19,-42 04.2,0.025,0.085,0.160,16,87,269,3411
Teutsch 64,08 32 30,-41 59.7,0.010,0.035,0.070,1,8,17,3112
ESO 324-15,13 23 28,-41 52.8,0.012,0.070,0.100,3,21,34,2818
SAI 88,08 12 58,-41 52.5,0.010,0.050,0.075,4,26,51,5838
NGC 2671,08 46 13,-41 52.0,0.010,0.085,0.185,5,108,328,1309
MWSC 5215,13 46 03,-41 50.6,0.030,0.105,0.175,12,40,79,3118
NGC 6231,16 54 14,-41 49.8,0.040,0.230,0.400,24,461,1207,1393
ESO 313-03,08 31 38,-41 47.2,0.010,0.050,0.105,1,13,47,4269
DBSB 178,17 02 13,-41 47.1,0.020,0.095,0.170,5,45,135,7506
SAI 90,08 28 06,-41 46.2,0.018,0.060,0.105,6,29,76,3112
FSR 1683,13 54 38,-41 46.1,0.012,0.110,0.175,1,21,47,3848
ASCC 50,08 50 22,-41 43.2,0.035,0.130,0.250,9,96,349,846
Pismis 2,08 17 58,-41 40.2,0.020,0.102,0.225,10,84,277,2754
DBSB 116,17 09 36,-41 35.7,0.010,0.050,0.075,1,12,20,1669
ESO 311-21,08 01 42,-41 35.0,0.010,0.060,0.125,2,29,120,5118
ESO 312-03,08 24 29,-41 18.3,0.018,0.060,0.115,2,20,48,2170
ESO 312-04,08 26 46,-41 14.3,0.010,0.040,0.075,2,11,41,1963
Collinder 197,08 44 51,-41 14.0,0.020,0.110,0.220,4,52,132,881
FSR 1383,08 04 09,-41 13.1,0.010,0.070,0.125,4,35,72,2434
FSR 1416,09 04 37,-41 07.6,0.020,0.060,0.105,4,39,89,1649
vdBergh-Hagen 211,17 02 11,-41 06.6,0.020,0.055,0.105,5,28,77,1820
ESO 329-02,15 27 32,-41 03.0,0.020,0.065,0.095,6,29,45,1546
ESO 335-05,18 16 12,-41 03.0,0.010,0.060,0.090,2,30,69,7562
vdBergh-Hagen 202,16 55 11,-40 56.4,0.012,0.070,0.110,3,58,138,1130
FSR 1379,08 00 16,-40 53.9,0.015,0.070,0.130,3,32,105,1951
ESO 332-22,17 07 25,-40 49.0,0.025,0.115,0.180,6,76,177,1422
vdBergh-Hagen 217,17 16 19,-40 48.6,0.020,0.065,0.100,5,43,89,1723
ESO 332-11,16 56 06,-40 46.8,0.010,0.055,0.100,2,26,96,1841
DBSB 21,08 42 14,-40 44.0,0.010,0.035,0.070,1,11,26,4839
Ruprecht 124,17 28 01,-40 43.8,0.018,0.065,0.120,3,27,67,2186
ESO 332-08,16 54 47,-40 42.9,0.020,0.100,0.180,9,85,300,965
vdBergh-Hagen 205,16 56 09,-40 40.8,0.013,0.060,0.090,2,20,51,1536
FSR 1378,08 01 19,-40 40.5,0.010,0.080,0.190,3,52,187,1562
NGC 6124,16 25 16,-40 39.0,0.030,0.225,0.455,13,474,1631,559
DBSB 19,08 35 28,-40 37.8,0.010,0.035,0.085,3,10,43,4350
ESO 332-13,16 56 40,-40 34.5,0.020,0.060,0.095,6,25,64,2910
DBSB 113,17 00 29,-40 33.7,0.015,0.035,0.060,2,12,36,2382
NGC 2849,09 19 23,-40 31.0,0.010,0.040,0.085,4,12,32,4800
MWSC 4146,11 00 45,-40 29.4,0.022,0.100,0.160,2,23,61,1419
Ruprecht 56,08 12 40,-40 29.1,0.010,0.110,0.305,1,21,123,429
Ruprecht 125,17 29 40,-40 27.0,0.020,0.100,0.160,2,29,94,1188
FSR 1397,08 37 01,-40 23.1,0.022,0.055,0.115,13,36,92,2068
ESO 313-12,08 43 51,-40 13.5,0.015,0.060,0.120,5,30,117,1401
FSR 1737,16 18 23,-40 13.2,0.015,0.050,0.090,5,28,79,2136
Ruprecht 64,08 37 05,-40 11.1,0.040,0.260,0.450,10,265,762,619
DBSB 115,16 59 15,-40 07.2,0.010,0.045,0.075,2,17,29,2628
Trumpler 29,17 41 29,-40 07.2,0.035,0.090,0.145,11,42,110,1096
FSR 1390,08 28 22,-40 05.0,0.010,0.045,0.090,5,28,71,2397
NGC 1851,05 14 08,-40 02.6,0.050,0.150,0.225,3,37,50,12097
FSR 1380,08 11 05,-39 57.9,0.015,0.060,0.110,4,34,76,3112
MWSC 5704,19 04 21,-39 55.8,0.022,0.066,0.110,7,29,53,1604
FSR 1387,08 24 31,-39 54.3,0.015,0.060,0.130,4,34,152,1258
FSR 1758,17 31 37,-39 50.4,0.020,0.075,0.120,9,51,106,7086
NGC 6268,17 02 08,-39 42.9,0.025,0.100,0.185,11,85,237,1105
Teutsch 85,17 13 12,-39 39.6,0.010,0.050,0.085,2,20,44,1569
Saurer 2,08 25 26,-39 38.4,0.018,0.037,0.080,7,17,50,6020
Pismis 5,08 37 40,-39 34.8,0.016,0.060,0.135,3,24,53,702
vdBergh-Hagen 55,08 56 11,-39 30.6,0.020,0.080,0.140,5,21,44,3642
NGC 6242,16 55 34,-39 27.6,0.030,0.110,0.215,22,171,516,1184
NGC 6318,17 16 11,-39 25.0,0.010,0.055,0.110,1,16,66,1841
FSR 1399,08 44 10,-39 21.9,0.020,0.070,0.125,6,49,91,3308
FSR 1736,16 07 55,-39 21.0,0.020,0.070,0.105,4,34,66,7468
MWSC 4170,13 36 49,-39 11.1,0.020,0.125,0.220,3,51,132,1548
DBSB 179,17 11 24,-39 10.7,0.014,0.060,0.115,2,11,28,7908
FSR 1754,17 14 58,-39 05.1,0.020,0.080,0.130,4,37,99,1400
FSR 1746,16 50 42,-39 04.8,0.020,0.080,0.140,9,59,135,4103
NGC 6380,17 34 28,-39 04.0,0.030,0.065,0.125,14,76,276,10897
ASCC 47,08 31 47,-39 03.3,0.020,0.155,0.280,3,101,357,780
Trumpler 25,17 24 23,-39 01.0,0.015,0.090,0.160,5,79,177,1818
FSR 1750,17 02 06,-38 51.9,0.025,0.075,0.125,7,44,134,1555
NGC 6139,16 27 40,-38 50.9,0.040,0.075,0.130,11,58,163,10110
Havlen-Moffat 1,17 18 54,-38 49.0,0.020,0.075,0.140,2,30,64,4854
Pismis 7,08 41 12,-38 42.4,0.015,0.085,0.155,3,38,103,4783
Pismis 3,08 31 16,-38 39.5,0.020,0.105,0.205,9,160,449,1418
Sco OB5,17 52 26,-38 38.1,0.025,0.170,0.310,5,126,414,2695
Pismis 26,17 36 10,-38 33.0,0.025,0.065,0.110,5,52,137,8201
NGC 2477,07 52 08,-38 31.8,0.050,0.310,0.450,36,770,1209,1450
NGC 2451A,07 41 20,-38 31.2,0.070,0.625,1.300,3,67,297,188
ESO 332-20,17 04 55,-38 19.0,0.012,0.065,0.110,1,25,73,1695
MWSC 4158,12 44 28,-38 18.6,0.020,0.115,0.195,2,30,80,1616
vdBergh-Hagen 222,17 18 45,-38 17.7,0.012,0.085,0.165,1,26,78,7813
Ruprecht 152,07 54 31,-38 13.2,0.010,0.060,0.090,2,26,49,3629
ESO 314-14,09 19 31,-38 07.9,0.018,0.070,0.115,4,22,46,1870
Ruprecht 66,08 40 28,-38 03.3,0.010,0.065,0.125,2,31,91,3552
ASCC 49,08 47 51,-38 00.0,0.030,0.160,0.270,4,75,216,629
NGC 6281,17 04 41,-37 58.8,0.025,0.170,0.320,5,153,415,512
FSR 1774,18 08 44,-37 56.4,0.010,0.085,0.130,1,18,36,1935
Ruprecht 123,17 23 31,-37 55.5,0.020,0.085,0.155,4,38,148,929
FSR 1402,09 05 46,-37 52.5,0.020,0.090,0.195,3,17,83,2889
NGC 5986,15 46 03,-37 47.2,0.030,0.090,0.165,0,33,119,10517
DBSB 120,17 23 13,-37 45.5,0.017,0.050,0.090,3,28,75,5483
ESO 313-11,08 43 43,-37 42.0,0.010,0.033,0.075,2,10,40,3010
Collinder 338,17 38 12,-37 42.0,0.025,0.160,0.275,7,106,297,698
NGC 2451B,07 44 28,-37 40.2,0.040,0.200,0.410,3,61,215,489
ASCC 48,08 34 39,-37 37.8,0.020,0.100,0.170,1,21,51,550
ESO 337-23,19 19 18,-37 37.2,0.010,0.050,0.100,1,8,20,1995
NGC 2546,08 11 51,-37 36.6,0.040,0.275,0.565,14,346,1267,935
Ruprecht 72,08 52 03,-37 36.6,0.010,0.045,0.100,2,12,47,2242
FSR 1782,18 38 17,-37 33.6,0.020,0.080,0.140,2,26,84,2650
Ruprecht 158,08 52 26,-37 33.3,0.012,0.055,0.125,2,15,75,2720
DC 3,07 27 00,-37 31.5,0.020,0.055,0.100,5,17,37,4317
MWSC 4211,15 31 35,-37 29.4,0.035,0.147,0.240,7,84,190,2361
ASCC 91,17 48 50,-37 22.2,0.010,0.130,0.220,1,51,185,858
FSR 1720,15 11 29,-37 21.9,0.020,0.100,0.185,2,45,127,3066
NGC 6256,16 59 33,-37 07.3,0.020,0.070,0.120,3,82,202,10296
Ruprecht 74,09 21 00,-37 07.0,0.010,0.035,0.075,2,10,22,3074
Pismis 1,08 18 18,-37 06.0,0.010,0.035,0.075,3,7,11,5903
FSR 1451,09 47 37,-37 03.3,0.015,0.065,0.115,2,19,49,1470
NGC 6441,17 50 13,-37 03.1,0.040,0.080,0.125,0,19,56,11610
Collinder 135,07 17 56,-37 02.1,0.040,0.200,0.520,6,34,217,361
NGC 6400,17 40 12,-36 56.7,0.010,0.100,0.190,2,50,174,938
FSR 1785,18 44 07,-36 56.5,0.015,0.055,0.090,2,12,34,4080
FSR 1465,10 05 47,-36 54.6,0.018,0.090,0.155,2,20,50,1703
Harvard 16,17 31 16,-36 48.3,0.020,0.100,0.180,6,57,138,1467
vdBergh-Hagen 214,17 05 40,-36 40.0,0.012,0.060,0.110,1,18,47,1579
BDSB 165,17 29 17,-36 39.2,0.010,0.035,0.055,3,22,50,5147
FSR 1766,17 34 34,-36 39.0,0.010,0.070,0.115,2,47,100,3540
NGC 6723,18 59 33,-36 37.9,0.040,0.155,0.260,0,82,207,8703
NGC 2818,09 16 12,-36 36.9,0.020,0.115,0.270,3,70,265,2054
SAI 86,08 08 15,-36 35.4,0.015,0.045,0.075,4,16,37,3022
FSR 1775,17 56 08,-36 33.9,0.018,0.060,0.100,6,47,104,8508
FSR 1431,09 35 08,-36 33.8,0.020,0.085,0.160,4,38,91,2343
BDSB 166,17 28 59,-36 33.7,0.010,0.035,0.050,5,30,52,6755
MWSC 4210,15 27 50,-36 31.2,0.025,0.130,0.205,4,80,168,2432
FSR 1467,10 07 44,-36 29.6,0.015,0.090,0.195,2,22,85,1606
Turner 5,09 33 16,-36 24.6,0.050,0.400,0.900,3,69,401,400
AH03 J0822-36.4,08 22 08,-36 24.3,0.018,0.090,0.140,4,59,128,1634
FSR 1361,07 50 40,-36 23.4,0.018,0.065,0.110,3,43,92,2234
NGC 1963,05 32 10,-36 22.8,0.020,0.105,0.170,1,14,35,1703
BDSB 164,17 25 32,-36 22.0,0.016,0.045,0.075,3,16,28,3135
MWSC 5273,15 07 04,-36 21.7,0.018,0.085,0.165,6,48,128,1599
FSR 1767,17 35 42,-36 21.3,0.014,0.060,0.115,2,18,77,1948
MWSC 5116,11 39 05,-36 20.4,0.020,0.100,0.180,4,30,77,1622
DBSB 123,17 17 17,-36 20.1,0.020,0.060,0.090,2,13,22,2024
vdBergh-Hagen 23,08 13 59,-36 20.0,0.018,0.150,0.320,2,31,123,414
Collinder 185,08 23 20,-36 19.8,0.010,0.075,0.130,2,29,94,1477
MWSC 5708,19 11 58,-36 18.9,0.020,0.055,0.100,2,13,26,1844
Ruprecht 127,17 37 52,-36 18.2,0.012,0.060,0.090,1,15,29,1435
NGC 2579,08 20 44,-36 11.8,0.010,0.055,0.090,1,20,47,1221
ESO 370-17,08 31 52,-36 11.8,0.015,0.050,0.110,4,13,59,2695
ESO 389-05,15 57 49,-36 11.7,0.014,0.060,0.112,2,29,86,4785
FSR 1365,07 59 45,-36 11.4,0.015,0.087,0.160,3,46,96,1884
FSR 1776,17 54 00,-36 08.7,0.010,0.060,0.105,4,40,105,8923
NGC 6334,17 20 51,-36 06.9,0.030,0.140,0.245,4,67,173,1132
Teutsch 50,08 07 09,-36 04.4,0.010,0.050,0.090,3,25,70,3254
NGC 2298,06 48 59,-36 00.3,0.030,0.080,0.115,2,22,35,10815
FSR 1417,09 32 22,-35 58.8,0.020,0.075,0.115,2,15,39,2210
Ruprecht 68,08 44 36,-35 53.1,0.010,0.080,0.140,3,52,105,2181
vdBergh-Hagen 223,17 20 41,-35 53.0,0.015,0.045,0.070,3,9,15,895
Alessi 13,03 28 05,-35 52.2,0.150,2.080,3.180,3,75,209,112
Pup OB3,08 16 57,-35 52.0,0.020,0.170,0.340,2,55,175,1768
MWSC 5706,19 09 38,-35 51.6,0.013,0.075,0.140,1,24,69,1558
IC 1023,14 32 20,-35 49.2,0.025,0.085,0.135,3,17,32,1298
MWSC 5713,19 25 32,-35 49.2,0.011,0.050,0.095,2,17,39,2265
FSR 1382,08 42 56,-35 47.1,0.015,0.060,0.115,4,30,81,1811
Ivanov 8,08 19 10,-35 39.0,0.010,0.060,0.100,2,29,55,1194
ESO 393-12,17 38 40,-35 39.0,0.018,0.055,0.105,2,27,87,8208