System,Period (days),"V
VV Crv,3.145,5.27,F5_IV,1.978,3.375,3.678,3.813,1.261,,"Fekel, Henry & Sowell (2013AJ....146..146F)"
,,0.42,F5_V,1.513,1.65,4.183,3.822,0.676,,
KW Hya,7.75,6.11,A5_Vm,1.975,2.124,4.079,3.903,1.221,,"Gallenne et al. (2019A&A...632A..31G)
Andersen & Vaz (1984A&A...130..102A)"
,,0.17,F0_V,1.487,1.439,4.27,3.843,0.64,,
V2365 Oph,4.866,8.859,A1_V,1.965,2.19,4.051,3.978,1.544,,Ibanoglu et al. (2008MNRAS.384..331I)
,,0.257,none,1.056,0.934,4.521,3.806,0.121,,
WW Aur,2.525,5.87,A4_Vm,1.964,1.927,4.162,3.901,1.129,,Southworth et al. (2005MNRAS.363..529S)
,,0.14,A5_Vm,1.814,1.841,4.167,3.885,1.023,,
V788 Cen,4.966,5.74,A7_IV,1.9621,2.733,3.858,3.893,1.401,#ERROR!,Graczyk et al. (2022A&A...666A.128G)
,,0.25,A9_V,1.5463,1.642,4.197,3.87,0.864,,
AI Hya,8.29,9.36,F2_m,1.95,2.754,3.848,3.886,1.381,#ERROR!,"Kahraman Aliçavus et al. (2023MNRAS.520.1601K)
Lee et al. (2020PASJ...72...37L)"
,,0.36,F0_V,2.096,3.863,3.586,3.856,1.554,,
RR Lyn,9.945,5.54,A6_IVm,1.9394,2.564,3.9078,3.89,1.334,,"Southworth (2021Obs...141..282S)
Tomkin & Fekel (2006AJ....131.2652T)"
,,0.22,F0_Vm:,1.51,1.613,4.2017,3.856,0.795,,
V362 Pav,2.748,7.4,A4_V,1.936,2.1931,4.043,3.914,1.292,#ERROR!,Graczyk et al. (2022A&A...666A.128G)
,,0.18,K,0.8767,0.8428,4.53,3.695,-0.409,,
WW Cam,2.274,10.14,A4_Vm,1.92,1.911,4.159,3.922,1.2,,Lacy et al. (2002AJ....123.1013L)
,,0.47,A4_Vm,1.873,1.808,4.196,3.916,1.13,,
AY Cam,2.735,9.9,none,1.901,2.771,3.832,3.86,1.28,,Williamon et al. (2004AJ....128.1319W)
,,0.36,none,1.705,2.025,4.057,3.869,1.042,,
V392 Car,3.175,9.48,A2_V,1.9,1.625,4.286,3.947,,,Debernardi & North (2001A&A...374..204D)
,,0.21,A2_V,1.853,1.601,4.31,3.937,,,
KIC 3858884,25.952,9.45,none,1.88,3.45,3.63,3.833,,,Maceroni et al. (2014A&A...563A..59M)
,,0.61,none,1.86,3.05,3.74,3.82,,,
KIC 4076952,9.762,13.88,none,1.86,3.078,3.742,3.819,,,Hambleton et al. (2022ApJ...931...75H)
,,0.82,none,1.37,1.451,4.251,3.825,,,
V456 Cyg,0.892,10.85,A2m,1.859,1.588,4.306,3.889,,,"Van Reeth et al. (2022A&A...659A.177V)
Bakis et al. (2014AJ....147..149B)"
,,0.31,F3_V,1.576,1.507,4.279,3.86,,,
RS Cha,1.67,6.03,A8_V,1.858,2.137,4.047,3.906,1.24,#ERROR!,"Clausen & Nordström (1980A&A....83..339C)
Alecian et al. (2005A&A...442..993A)"
,,0.2,A8_V,1.821,2.338,3.961,3.886,1.24,,
OGLE SMC130.5 4296,120.468,16.78,G7_III,1.854,25.44,1.895,3.691,2.529,"-0.88
± 0.15","Graczyk et al. (2014ApJ...780...59G)
Member of the SMC"
,,1.1,K1_III,1.805,46,1.369,3.655,2.898,,
OGLE-LMC-ECL-12669,749.632,17.21,K0.5_III,1.843,24.17,1.937,3.666,2.384,"-0.30
± 0.14","Graczyk et al. (2018ApJ...860....1G)
member of the LMC"
,,1.2,G9_III,1.962,23.36,1.994,3.673,2.386,,
HY Vir,2.732,7.81,F0m,1.838,2.806,3.806,3.836,1.2,,Lacy & Fekel (2011AJ....142..185L)
,,0.42,F5_V,1.404,1.519,4.222,3.816,0.58,,
OGLE-LMC-ECL-12875,152.85,17.32,G8_III,1.831,15.62,2.313,3.685,2.083,"-0.48
± 0.15","Graczyk et al. (2018ApJ...860....1G)
member of the LMC"
,,1.39,K2.5_III,1.858,40.82,1.486,3.642,2.744,,
MY Cyg,4.005,8.31,F0_Vm,1.82,2.22,4.01,3.851,1.05,,Tucker et al. (2009AJ....137.2949T)
,,0.3,F0_Vm,1.8,2.28,3.98,3.847,1.06,,
GW Eri,3.659,5.8,A4_Vm,1.7936,1.828,4.168,3.923,1.149,#ERROR!,Graczyk et al. (2022A&A...666A.128G)
,,0.18,A4_Vm,1.7768,1.796,4.179,3.913,1.114,,
OGLE-LMC-ECL-03160,150.154,17.13,G7_III,1.792,17.03,2.229,3.693,2.188,"-0.68
± 0.18","Graczyk et al. (2018ApJ...860....1G)
Pietrzynski et al. (2013Natur.495...76P)"
,,1.31,K2_III,1.802,37.42,1.548,3.648,2.695,,
IM Per,2.254,11.28,A8_V,1.7831,2.409,3.9258,3.88,1.235,,Lacy et al. (2015AJ....149...34L)
,,0.7,A8_V,1.7741,2.366,3.9394,3.879,1.217,,
XY Cet,2.781,8.8,A8_Vm,1.773,1.873,4.142,3.896,1.082,,Southworth et al. (2011MNRAS.414.3740S)
,,0.29,F0_Vm,1.615,1.773,4.149,3.882,0.978,,
EI Cep,8.439,7.61,F3_IV,1.772,2.896,3.763,3.829,1.193,,Torres & Latham (2000AJ....119.1942T)
,,0.33,F1_V,1.68,2.329,3.929,3.842,1.055,,
V572 Per,1.213,6.71,A0_V,1.76,1.68,4.23,3.9,,,Zasche et al. (2019AJ....158...95Z)
,,0.08,none,1.39,1.29,4.36,3.82,,,
KIC 10031808,8.59,9.56,none,1.741,2.59,3.852,3.852,1.185,"-0.11
± 0.08","He?miniak et al. (2019MNRAS.484..451H)
Contains a ? Dor pulsator"
,,0.45,none,1.798,3.027,3.731,3.835,1.254,,
OGLE-SMC-ECL-0019,143.393,17.92,G4_III,1.73,16.8,2.23,3.716,2.27,"-0.56
± 0.08","Graczyk et al. (2020ApJ...904...13G)
Member of the SMC"
,,0.99,G5_III,1.69,18.8,2.12,3.708,2.334,,
HW CMa,21.118,10,A7_Vm,1.721,1.643,4.242,3.879,0.898,#ERROR!,"Torres et al. (2012A&A...537A.117T)
Clausen et al. (2008A&A...487.1081C)"
,,0.19,A7_Vm,1.781,1.662,4.247,3.886,0.94,,
BD +37 410,15.535,9.94,F4_III,1.717,2.899,3.748,3.821,,"-0.03
± 0.02","Sandquist et al (arXiv:2210.11649)
[Fe/H] comes from membership of NGC 752"
,,0.38,none,1.175,1.186,4.36,3.801,,,
ASAS J060505+2032.1,2.121,11.93,none,1.716,2.048,4.05,3.87,,"-0.12
± 0.31",He?miniak et al. (2021MNRAS.508.5687H)
,,0.58,none,1.697,2.008,4.062,3.87,,,
DS And,1.011,10.44,F1_III,1.692,2.185,3.987,3.849,0.957,"-0.03
± 0.02","Sandquist et al (arXiv:2210.11649)
[Fe/H] comes from membership of NGC 752"
,,0.39,G2_V,1.184,1.2,4.353,3.796,0.225,,
EPIC 211982753,5.39,8.77,none,1.69,1.66,4.226,3.87,0.875,,Panchal et al. (2023MNRAS.521..677P)
,,0.3,none,1.59,1.53,4.27,3.844,0.703,,
BD +47 378,2.145,10.11,F0_V,1.69,2,4.068,3.854,0.968,,Hong et al. (2022AJ....164..121H)
,,0.49,K4_V,0.8,0.78,4.552,3.664,-0.6,,
KIC 2557430,1.298,11.63,F2_V,1.69,1.88,4.116,3.848,0.899,"-0.02
± 0.11",Hoyman et al. (2020MNRAS.491.5980H)
,,0.58,F9_V,1.35,1.23,4.386,3.782,0.249,,
OGLE SMC126.1 210,634.999,16.77,K2_III,1.674,43.52,1.385,3.651,2.836,"-0.87
± 0.15","Graczyk et al. (2014ApJ...780...59G)
Member of the SMC"
,,1.2,K1_III,1.669,39,1.479,3.654,2.752,,
CoRoT 102918586,4.391,12.45,none,1.66,1.64,4.23,3.868,,#ERROR!,"Maceroni et al. (2013A&A...552A..60M)
The primary star is a ? Dor pulsator"
,,0.42,none,1.49,1.48,4.27,3.851,,,
KIC 9850387,2.748,13.67,F1_V,1.66,2.154,3.992,3.865,,"-0.20
± 0.05",Sekaran et al. (2020A&A...643A.162S)
,,0.48,none,1.062,1.081,4.396,3.79,,,
V501 Mon,7.021,12.32,A6m,1.6455,1.888,4.103,3.876,1.007,#ERROR!,Torres et al. (2015AJ....150..154T)
,,0.57,F0,1.4588,1.592,4.199,3.845,0.743,,
FS Mon,1.906,9.6,F2_V,1.632,2.051,4.026,3.827,0.888,,Lacy et al. (2000AJ....119.1389L)
,,0.9,F4_V,1.462,1.629,4.179,3.816,0.644,,
V1022 Cas,12.156,5.56,F6_V,1.626,2.57,3.83,3.803,0.985,,"Fekel et al. (2022AJ....164..224F)
Southworth (2021Obs...141...52S)"
,,0.47,F6_V,1.607,2.445,3.87,3.808,0.961,,
KIC 9777062,19.23,12.26,Am,1.603,1.744,4.16,3.886,,"-0.03
± 0.13","Sandquist et al (2016ApJ...831...11S)
Member of NGC 6811. [Fe/H] comes from secondary star."
,,0.37,none,1.419,1.544,4.213,3.854,,,
IO Aqr,2.368,8.86,F5_V-IV,1.569,2.191,3.952,3.811,0.88,,Graczyk et al. (2015A&A...581A.106G)
,,0.48,F6_V-IV,1.655,2.493,3.863,3.802,0.954,,
PV Pup,1.661,6.89,A8_V,1.565,1.542,4.257,3.84,0.69,,Vaz & Andersen (1984A&A...132..219V)
,,0.32,A8_V,1.554,1.499,4.278,3.841,0.67,,
V442 Cyg,2.386,9.72,F1_V,1.564,2.072,3.999,3.839,0.94,,Lacy & Frueh (1987AJ.....94..712L)
,,0.32,F2_V,1.41,1.662,4.146,3.833,0.72,,
ZZ Boo,4.992,6.78,F3_V,1.5572,2.0626,4.0016,3.827,0.893,,Southworth (arXiv:2212.02595)
,,0.36,F3_V,1.599,2.205,3.955,3.825,0.943,,
BT Vul,1.141,11.69,F0_V,1.5439,1.536,4.254,3.862,0.772,,"Torres et al., (2020ApJ...894...96T)"
,,0.31,F7_V,1.2196,1.151,4.403,3.797,0.26,,
KIC 11285625,10.79,10.16,early_F,1.543,2.123,3.973,3.843,,"-0.58
± 0.15","Debosscher et al. (2013A&A...556A..56D)
Contains a ? Doradus pulsating component"
,,0.39,early_F,1.2,1.472,4.18,3.857,,,
HD 32129,16.412,9.09,F3_V,1.5388,1.8726,4.08,3.827,0.806,#ERROR!,Graczyk et al. (2022A&A...666A.128G)
,,0.54,G2_V,1.0687,0.9875,4.478,3.76,-0.013,,
HIP 7666,2.372,9.64,A5,1.53,2.08,3.98,3.851,0.99,"-0.13
± 0.05",Feng et al. (2021MNRAS.508..529F)
,,0.4,none,1.23,1.06,4.47,3.78,0.13,,
EY Cep,7.971,9.8,F0_V,1.523,1.463,4.29,3.851,0.69,,Lacy et al. (2006AJ....131.2664L)
,,0.27,F0_V,1.498,1.468,4.28,3.843,0.66,,
RZ Cha,2.832,8.1,F5_V,1.518,2.264,3.909,3.81,0.9,,Andersen et al. (1975A&A....44..349A)
,,0.47,F5_V,1.509,2.264,3.907,3.81,0.9,,
OGLE-LMC-ECL-12933,125.395,17.38,G7_III,1.516,17.32,2.142,3.69,2.193,"-0.38
± 0.13","Graczyk et al. (2018ApJ...860....1G)
member of the LMC"
,,1.37,K2_III,1.514,36.41,1.496,3.65,2.679,,
KIC 5640750,987.398,11.88,none,1.515,14.06,2.323,3.656,1.871,"-0.29
± 0.09",Themeßl et al. (2018MNRAS.478.4669T)
,,1.24,none,1.292,1.853,4.014,3.767,0.555,,
KIC 6778289,30.13,13.09,none,1.512,1.748,4.133,3.834,,,Cunningham et al. (2019AJ....158..106C)
,,0.45,none,1.092,0.998,4.479,3.861,,,
EPIC 219552514,2.754,10.34,none,1.509,2.505,3.822,3.791,0.913,#ERROR!,"Torres et al. (2020ApJ...896..162T)
Metallicity comes from membership of Ruprecht 147"
,,0.5,none,0.649,0.652,4.624,3.603,-1.018,,
HD 71636,5.013,7.89,F2_V,1.506,1.583,4.22,3.842,0.721,,"Fekel et al. (2022AJ....164..224F)
Henry et al. (2006AJ....132.2489H)"
,,0.38,F5_V,1.282,1.314,4.31,3.809,0.428,,
HD 187669,88.387,8.88,K0_III,1.504,11.33,2.507,3.667,1.732,"-0.25
± 0.10",He?miniak et al. (2015MNRAS.448.1945H)
,,1.24,K2.5_III,1.505,22.62,1.907,3.636,2.207,,
GX Gem,4.038,11.33,F7_V,1.488,2.327,3.877,3.792,0.86,"-0.12
± 0.10","Lacy, Torres & Claret (2008AJ....135.1757L)"
,,0.61,F7_V,1.467,2.238,3.904,3.79,0.82,,
NGC 2506 V4,2.868,14.65,none,1.478,2.3,3.884,3.834,,"-0.36
± 0.10","Knudstrup et al. (2020MNRAS.499.1312K)
Metallicity comes from membership of NGC 2506"
,,0.39,none,1.25,1.534,4.163,3.834,,,
KIC 8410637,408.324,11.33,G_III,1.472,10.596,2.556,3.663,1.656,#ERROR!,"Themeßl et al. (2018MNRAS.478.4669T)
Frandsen et al. (2013A&A...556A.138F)"
,,0.85,none,1.309,1.556,4.171,3.783,0.468,,
DM Vir,4.669,8.73,F7_V,1.454,1.763,4.108,3.813,0.7,,"Latham et al. (1996A&A...314..864L)
(the uncertainty on Teff(2) should be 100K not 300K)"
,,0.47,F7_V,1.448,1.763,4.106,3.813,0.7,,
ASAS J073507-0905.7,1.446,9.32,F5_V,1.452,1.635,4.173,3.806,0.6,"-0.27
± 0.08",He?miniak et al. (2019A&A...622A.114H)
,,0.45,none,0.808,0.819,4.519,3.64,-0.66,,
OGLE-LMC-ECL-15260,157.469,16.92,G8_III,1.449,23.22,1.868,3.682,2.415,"-0.63
± 0.12","Graczyk et al. (2018ApJ...860....1G)
Pietrzynski et al. (2013Natur.495...76P)"
,,1.36,K2_III,1.422,42.2,1.34,3.645,2.787,,
NN Del,99.269,8.4,F8,1.4445,2.194,3.915,3.809,0.868,,Gallenne et al. (2019A&A...632A..31G)
,,0.54,none,1.3266,1.608,4.148,3.813,0.615,,
CD Tau,3.435,6.77,F6_V,1.442,1.798,4.087,3.792,,#ERROR!,Ribas et al. (1999MNRAS.309..199R)
,,0.44,F6_V,1.368,1.584,4.174,3.792,,,
OGLE-SMC-ECL-0970,191.551,17.93,G8_III,1.44,18.4,2.07,3.686,2.228,"-0.83
± 0.08","Graczyk et al. (2020ApJ...904...13G)
Member of the SMC"
,,1.06,G9_III,1.42,21.1,1.94,3.679,2.322,,
ASAS J090232-5653.4,20.822,10.63,none,1.436,1.527,4.201,3.847,0.736,"-0.15
± 0.13",Ratajczak et al. (2021MNRAS.500.4972R)
,,0.36,none,1.372,1.392,4.244,3.825,0.585,,
BG Ind,1.464,6.13,F,1.432,2.339,3.852,3.809,0.926,"-0.19
± 0.04","Borkovits et al. (2021MNRAS.503.3759B)
Rozyczka et al. (2011MNRAS.414.2479R)"
,,0.5,F,1.315,1.592,4.15,3.834,0.693,,
ASAS J163903-2847.2,23.31,9.85,none,1.421,2.157,3.923,3.822,,"-0.19
± 0.16",He?miniak et al. (2021MNRAS.508.5687H)
,,0.59,none,1.141,1.224,4.32,3.819,,,
V506 Oph,1.06,11.41,F1_V,1.415,1.725,4.1155,3.835,0.766,,Torres et al. (2019ApJ...876...41T)
,,0.21,F1_V,1.402,1.692,4.1284,3.831,0.734,,
BK Peg,5.49,9.98,F8_V,1.414,1.988,3.992,3.797,0.74,"-0.12
± 0.07",Clausen et al. (2010A&A...516A..42C)
,,0.59,F7_V,1.257,1.474,4.201,3.801,0.49,,
AD Boo,2.069,9.38,F6_V,1.414,1.612,4.173,3.818,0.64,#ERROR!,"Clausen et al. (2008A&A...487.1095C)
Clausen et al. (2008A&A...487.1081C)"
,,0.44,G0_V,1.209,1.216,4.351,3.789,0.28,,
BF Dra,11.211,9.76,F6_V,1.414,2.086,3.95,3.803,0.81,,Lacy et al. (2012AJ....143..129S)
,,0.59,F6_V,1.375,1.922,4.008,3.806,0.75,,
KIC 6864859,40.878,11.64,none,1.411,1.655,4.15,3.813,,,Cunningham et al. (2019AJ....158..106C)
,,0.31,none,1.354,1.455,4.244,3.816,,,
BN Scl,3.747,5.23,F7_V,1.4067,1.834,4.059,3.8,0.68,"-0.23
± 0.06","Graczyk et al., (2021A&A...649A.109G)"
,,0.49,F8_V,1.2439,1.38,4.256,3.795,0.415,,
VZ Cep,1.183,9.72,F3_V,1.402,1.534,4.213,3.824,0.634,,Torres & Lacy (2009AJ....137..507T)
,,0.47,G4_V,1.1077,1.042,4.446,3.757,0.026,,
V1200 Cen,2.483,8.5,F5_V,1.393,1.407,4.2855,3.819,0.525,,Marcadon et al. (2020MNRAS.499.3019M)
,,0.46,none,0.8633,1.154,4.2496,3.651,-0.319,,
KIC 9540226,175.443,12.08,none,1.39,13.43,2.326,3.661,1.854,"-0.31
± 0.09","Themeßl et al. (2018MNRAS.478.4669T)
Brogaard et al. (2018MNRAS.476.3729B)"
,,1.21,none,1.015,1.034,4.416,3.765,0.042,,
KIC 5193386,21.378,14.26,none,1.386,4.505,3.272,3.679,,,Hambleton et al. (2022ApJ...931...75H)
,,0.84,none,1.152,1.319,4.259,3.82,,,
AN Cam,20.998,9.69,F9_V,1.38,2.159,3.9095,3.782,0.75,,Southworth (2021Obs...141..122S)
,,0.61,G2_IV,1.402,2.646,3.74,3.76,0.839,,
NGC 7142 V1,15.651,14.86,none,1.377,1.616,4.16,3.782,,,Sandquist et al. (2013AJ....146...40S)
,,0.83,none,1.377,1.613,4.162,3.782,,,
ASAS J052821+0338.5,3.873,11.7,K1_PMS,1.375,1.83,4.05,3.708,0.314,"-0.15
± 0.14",Stempels et al. (2008A&A...481..747S)
,,0.9,K3_PMS,1.329,1.73,4.08,3.673,0.14,,
BW Aqr,6.72,10.3,F7_V,1.373,1.7332,4.0982,3.81,0.669,"-0.07
± 0.11","Maxted (2018RNAAS...2b..39M)
Clausen et al. (2010A&A...516A..42C)"
,,0.45,F7_V,1.469,2.0708,3.9731,3.802,0.796,,
V1143 Cyg,7.641,5.89,F5_V,1.361,1.348,4.31,3.821,0.53,,"Lester et al. (2019AJ....158..218L)
Albrecht et al. (2007A&A...474..565A)"
,,0.47,F5_V,1.332,1.322,4.32,3.818,0.5,,
ASAS J171750-1915.3,3.137,10.99,none,1.3571,1.676,4.122,3.815,,#ERROR!,He?miniak et al. (2021MNRAS.508.5687H)
,,0.64,none,1.3452,1.648,4.133,3.813,,,
RU Cnc,10.173,10.2,none,1.347,2.188,3.888,3.817,,"-0.26
± 0.34",He?miniak et al. (2021MNRAS.508.5687H)
,,0.6,none,1.415,4.939,3.202,3.678,,,
AQ Ser,1.687,10.65,F5_IV,1.346,2.281,3.85,3.808,0.901,,Torres et al. (2014AJ....147...36T)
,,0.51,F6_IV,1.417,2.451,3.81,3.802,0.939,,
HD 22064,9.135,8.81,F2_V,1.345,1.554,4.184,3.83,0.658,"-0.05
± 0.15",Maxted (2023MNRAS.522.2683M)
,,0.4,none,0.576,0.595,4.65,3.568,-1.176,,
LX Mus,11.751,8.78,F5_V,1.3433,1.345,4.309,3.815,0.473,#ERROR!,Graczyk et al. (2022A&A...666A.128G)
,,0.51,F5_V,1.3544,1.3959,4.28,3.817,0.513,,
RT CrB,5.117,10.21,G5_IV,1.343,2.615,3.731,3.762,0.838,,Sabby & Lacy (2003AJ....125.1448S)
,,0.73,K0_IV,1.359,2.946,3.632,3.71,0.736,,
UZ Dra,3.261,9.59,F7_V,1.34,1.31,4.33,3.793,0.35,,Lacy et al. (1989AJ.....97..822L)
,,0.47,G0_V,1.23,1.15,4.4,3.777,0.18,,
ASAS J085002+1752.5,5.226,10.15,none,1.326,1.571,4.168,3.817,,"-0.01
± 0.27",He?miniak et al. (2021MNRAS.508.5687H)
,,0.72,none,1.573,3.222,3.619,3.758,,,
IT Cas,3.897,11.15,F5_V,1.3244,1.5552,4.1765,3.829,0.653,,"Southworth (arXiv:2306.09487)
Lacy et al. (1997AJ....114.1206L)"
,,0.5,F5_V,1.3218,1.5513,4.1778,3.829,0.651,,
NP Per,2.229,11.24,F5_V,1.3207,1.372,4.284,3.808,0.46,#ERROR!,Sandberg Lacy et al (2016AJ....152....2S)
,,0.7,K5_e,1.0456,1.229,4.2779,3.657,-0.237,,
FM Leo,6.729,8.47,F6_V,1.3144,1.6245,4.135,3.806,0.6,"-0.11
± 0.04","Graczyk et al., (2021A&A...649A.109G)
He?miniak et al. (2021MNRAS.508.5687H)"
,,0.49,F6_V,1.2703,1.5082,4.185,3.805,0.533,,
CPD -54 810,26.132,10.45,none,1.3084,1.9288,3.9836,3.81,0.766,"0.0
± 0.2","Miller et al. (2022MNRAS.517.5129M)
Ratajczak et al. (2021MNRAS.500.4972R)"
,,0.41,none,1.0896,1.1815,4.3297,3.801,0.305,,
V338 Vir,5.985,9.15,F5_V,1.3074,1.5329,4.183,3.818,0.599,"-0.10
± 0.06",Graczyk et al. (2022A&A...666A.128G)
,,0.47,F6_IV,1.5148,2.3651,3.871,3.808,0.934,,
V1130 Tau,0.799,6.56,F2_V,1.306,1.489,4.208,3.822,0.59,"-0.25
± 0.10",Clausen et al. (2010A&A...510A..91C)
,,0.36,F2_V,1.392,1.782,4.08,3.821,0.74,,
TIC 193993801,1.431,11.27,F8_V,1.306,1.692,4.098,3.801,0.614,,Borkovits et al. (2022MNRAS.510.1352B)
,,0.67,none,1.189,1.304,4.245,3.785,0.323,,
CO And,3.655,10.83,F8_V,1.2892,1.727,4.074,3.788,0.58,#ERROR!,Lacy et al. (2010AJ....139.2347L)
,,0.52,F8_V,1.2643,1.694,4.0822,3.79,0.572,,
V455 Aur,3.146,7.28,F5_V,1.2887,1.389,4.2626,3.813,0.492,,"Southworth (2021Obs...141..190S)
Griffin (2013Obs...133..156G)"
,,0.43,F6_V,1.2316,1.318,4.2887,3.806,0.419,,
V375 Cep,1.91,16.12,none,1.288,1.623,4.129,3.794,,#ERROR!,"Sandquist et al. (2013AJ....146...40S)
Member of the open cluster NGC 7142"
,,0.88,none,0.871,0.897,4.473,3.703,,,
V1061 Cyg,2.347,9.24,F9_V,1.282,1.615,4.129,3.791,0.533,,Torres et al. (2006ApJ...640.1018T)
,,0.54,G8_V,0.9315,0.974,4.43,3.724,-0.173,,
CF Tau,2.756,10.25,K0,1.282,2.797,3.653,3.716,0.71,,Lacy et al. (2012AJ....144..167S)
,,0.95,G0,1.251,2.048,3.913,3.778,0.69,,
KIC 7821010,24.238,10.84,none,1.277,1.276,4.332,3.827,0.47,#ERROR!,He?miniak et al. (2019MNRAS.484..451H)
,,0.56,none,1.221,1.21,4.359,3.817,0.39,,
AP And,1.587,11.19,F5_V,1.277,1.2335,4.3623,3.817,0.403,,Lacy et al. (2014AJ....147..148S)
,,0.44,F5_V,1.251,1.1954,4.3805,3.813,0.358,,
V505 Per,4.222,6.88,F5_V,1.2745,1.2941,4.3194,3.814,0.434,,"Southworth (2021Obs...141..234S)
Tomasella et al. (2008A&A...480..465T)"
,,0.42,F5_V,1.2577,1.2637,4.3343,3.81,0.399,,
VZ Hya,2.904,8.95,F5_V,1.271,1.314,4.305,3.809,0.48,"-0.20
± 0.12","Clausen et al. (2008A&A...487.1095C)
Clausen et al. (2008A&A...487.1081C)"
,,0.41,F6_V,1.146,1.112,4.405,3.799,0.24,,
CQ Ind,8.974,8.36,F6_V,1.2694,1.4097,4.243,3.81,0.494,"-0.04
± 0.08",Graczyk et al. (2022A&A...666A.128G)
,,0.53,F8_V,1.1293,1.1268,4.387,3.788,0.212,,
V2154 Cyg,2.631,7.83,F3_V,1.269,1.477,4.2028,3.831,0.616,,Bright & Torres (2017ApJ...850...10B)
,,0.4,K2_V,0.7542,0.7232,4.597,3.701,-0.523,,
V501 Her,8.598,10.93,G3_IV,1.269,2.0017,3.9384,3.755,0.576,,Lacy & Fekel (2014AJ....148...71S)
,,0.93,G3_V,1.2113,1.5112,4.1623,3.757,0.344,,
