System,Period (days),"V
HS Hya,1.568,8.12,F5_V,1.2552,1.2747,4.3259,3.8129,0.415,,Torres et al. (1997AJ....114.2764T)
,,0.41,F5_V,1.2186,1.2161,4.3539,3.8062,0.347,,
KIC 8430105,63.327,10.67,none,1.254,7.475,2.7892,3.752,,"-0.46
± 0.10","Thomsen et al. (2022MNRAS.517.4187T)
Gaulme et al. (2016ApJ...832..121G)"
,,0.93,none,0.8134,0.7494,4.599,3.756,,,
KIC 5359678,6.231,14.21,F5,1.252,1.449,4.214,3.813,0.555,,"Southworth (2022Obs...142..103S)
Wang et al. (2021MNRAS.504.4302W)"
,,0.7,none,1.065,1.048,4.424,3.777,0.103,,
KIC 5288543,3.457,13.52,none,1.251,1.6208,4.116,3.798,,,Hambleton et al. (2022ApJ...931...75H)
,,0.39,none,0.947,0.9272,4.48,3.748,,,
EF Aqr,2.854,9.89,G0_V,1.244,1.338,4.28,3.789,0.36,#ERROR!,Vos et al. (2012A&A...540A..64V)
,,0.72,none,0.946,0.956,4.453,3.715,-0.227,,
WOCS 40007,3.185,15.65,none,1.236,1.399,4.24,3.795,,"-0.03
± 0.06","Jeffries et al. (2013AJ....146...58J)
Member of NGC 6819. [Fe/H] comes from open cluster."
,,0.71,none,1.086,1.098,4.381,3.775,,,
TIC 172900988,19.658,10.14,none,1.2277,1.3827,4.2492,3.782,,#ERROR!,Kostov et al. (2021AJ....162..234K)
,,0.55,none,1.2021,1.3141,4.2808,3.777,,,
WZ Oph,4.184,9.1,F8_V,1.227,1.401,4.234,3.79,0.41,"-0.27
± 0.07","Clausen et al. (2008A&A...487.1095C)
Clausen et al. (2008A&A...487.1081C)"
,,0.5,F8_V,1.22,1.419,4.221,3.786,0.4,,
KIC 3439031,5.952,11.34,none,1.2258,1.4072,4.23,3.815,0.45,#ERROR!,He?miniak et al. (2019MNRAS.484..451H)
,,0.48,none,1.2274,1.403,4.2332,3.815,0.45,,
UX Men,4.181,8.22,F8_V,1.2229,1.347,4.272,3.792,0.38,#ERROR!,"Andersen et al. (1989A&A...211..346A)
He?miniak et al. (2009MNRAS.400..969H)"
,,0.54,F8_V,1.1878,1.274,4.306,3.789,0.32,,
Kepler 1647,11.259,13.7,none,1.2207,1.7903,4.018,3.793,,"-0.14
± 0.05","Kostov et al. (2016ApJ...827...86K)
(hosts a transiting planet)"
,,0.66,none,0.9678,0.9663,4.4534,3.761,,,
FL Lyr,2.178,9.33,F8_V,1.2102,1.244,4.331,3.796,0.33,"-0.07
± 0.09","He?miniak et al. (2019MNRAS.484..451H)
Popper et al. (1986AJ.....91..383P)"
,,0.52,G8_V,0.9512,0.9,4.508,3.74,-0.18,,
LL Aqr,20.178,9.32,F3_V,1.1959,1.321,4.274,3.784,0.332,"0.02
± 0.04","Graczyk et al. (2016A&A...594A..92G)
Southworth (2013A&A...557A.119S)"
,,0.54,F8_V,1.0337,1.002,4.451,3.756,-0.019,,
KIC 2306740,10.307,13.7,none,1.194,1.682,4.063,3.764,0.449,,Koçak et al. (2021ApJ...910..111K)
,,0.74,none,1.078,1.226,4.294,3.782,0.26,,
AI Phe,24.592,8.61,K0_IV,1.1938,1.805,4.002,3.792,0.654,"-0.14
± 0.10","Miller et al. (2020MNRAS.497.2899M)
Maxted et al. (2020MNRAS.498..332M)"
,,0.83,F7_V,1.2438,2.9332,3.5981,3.707,0.736,,
LV Her,18.436,11.06,F9_V,1.193,1.358,4.2493,3.793,0.349,#ERROR!,"Torres, Lacy & Claret (2009AJ....138.1622T)"
,,0.78,F9_V,1.1698,1.313,4.2695,3.78,0.311,,
V2080 Cyg,4.934,7.404,F4_V,1.191,1.596,4.108,3.778,0.474,,Ibanoglu et al. (2008MNRAS.384..331I)
,,0.421,F4_V,1.157,1.599,4.093,3.777,0.472,,
KIC 9970396,235.299,11.75,none,1.178,8.035,2.699,3.687,,"-0.35
± 0.10","Brogaard et al. (2018MNRAS.476.3729B)
Gaulme et al. (2016ApJ...832..121G)"
,,1.07,none,1.003,1.1089,4.3493,3.794,,,
EW Ori,6.937,9.9,G0_V,1.173,1.168,4.372,3.783,0.22,#ERROR!,"Clausen et al. (2010A&A...511A..22C)
Popper et al. (1986AJ.....91..383P)"
,,0.57,G2_V,1.123,1.097,4.408,3.771,0.12,,
KIC 7037405,207.108,12.22,none,1.17,14,2.2131,3.653,,"-0.27
± 0.10",Brogaard et al. (2018MNRAS.476.3729B)
,,1.13,none,1.11,1.746,3.999,3.785,,,
AL Ari,3.747,7.23,F6_V,1.164,1.372,4.229,3.804,0.444,"-0.42
± 0.08","Graczyk et al., (2021A&A...649A.109G)"
,,0.52,G7_V,0.9112,0.905,4.458,3.745,-0.155,,
UW LMi,3.874,8.32,G0_V,1.1627,1.34,4.249,3.781,0.332,"-0.10
± 0.06",Graczyk et al. (2022A&A...666A.128G)
,,0.59,G0_V,1.1402,1.275,4.284,3.778,0.279,,
WASP 0639-32,11.658,10.66,F,1.1544,1.834,3.974,3.801,0.685,"-0.33
± 0.10",Kirkby-Kent et al. (2018A&A...615A.135K)
,,0.5,K,0.7833,0.7291,4.607,3.732,-0.392,,
ASAS J061016-3321.3,199.857,9.71,K5_III,1.148,12.34,2.315,3.632,1.667,"0.08
± 0.10",Ratajczak et al. (2021MNRAS.500.4972R)
,,1.48,K5_V,1.152,33.32,1.454,3.583,2.319,,
ASAS J231922-0852.2,6.062,10.24,none,1.136,1.64,4.064,3.797,,"-0.39
± 0.07",He?miniak et al. (2021MNRAS.508.5687H)
,,0.46,none,1.006,1.11,4.35,3.795,,,
ZZ UMa,2.299,10.39,F8_V,1.1348,1.4367,4.178,3.775,0.37,,Southworth (2022Obs...142..267S)
,,0.54,G6_V,0.9652,1.0752,4.36,3.722,-0.095,,
KX Cnc,31.22,7.19,F9_V,1.1345,1.0527,4.4825,3.771,0.083,#ERROR!,"Southworth (2021Obs...141...22S)
Sowell, Henry & Fekel (2012AJ....143....5S)"
,,0.56,F9_V,1.1241,1.0593,4.4388,3.767,0.071,,
HP Dra,10.762,7.94,F9_V,1.133,1.371,4.218,3.778,0.34,,Milone et al. (2010AJ....140..129M)
,,0.55,F9_V,1.094,1.052,4.433,3.77,0.079,,
EPIC 219568666,11.991,11.86,F8_V,1.121,1.178,4.346,3.788,0.248,#ERROR!,"Torres et al. (2019ApJ...887..109T)
Metallicity comes from membership of Ruprecht 147"
,,0.7,none,0.733,0.64,4.69,3.653,-0.818,,
WOCS 12009,69.728,13.99,none,1.111,1.071,4.424,3.785,,#ERROR!,"Sandquist et al. (2018AJ....155..152S)
[Fe/H] comes from membership of M67"
,,0.62,none,0.748,0.713,4.607,3.673,,,
V785 Cep,6.504,14.74,none,1.103,1.424,4.174,3.771,0.34,"-0.06
± 0.06","Meibom et al. (2009AJ....137.5086M)
quoted metallicity is for the NGC 188 open cluster"
,,0.6,none,1.081,1.373,4.196,3.769,0.3,,
AL Dor,14.905,7.74,F9_V,1.1018,1.0917,4.404,3.782,0.159,"-0.10
± 0.04","Graczyk et al., (2021A&A...649A.109G)
Gallenne et al. (2019A&A...632A..31G)"
,,0.57,F9_V,1.1028,1.0983,4.399,3.782,0.164,,
QR Hya,5.006,8.4,G1_V,1.1002,1.2844,4.262,3.773,0.262,"-0.01
± 0.06",Graczyk et al. (2022A&A...666A.128G)
,,0.63,G2_V,1.0673,1.2028,4.306,3.767,0.182,,
V1094 Tau,8.989,8.97,G0_V,1.0965,1.4109,4.179,3.767,0.32,,Maxted et al. (2015A&A...578A..25M)
,,0.7,G3_V,1.0121,1.1063,4.355,3.756,0.05,,
OGLE-BLG-ECL-296596,155.658,15.48,K6_III,1.093,18.06,1.963,3.625,1.964,"-0.07
± 0.15",Suchomska et al. (2019A&A...621A..93S)
,,1.26,K8_III,1.125,29.8,1.541,3.599,2.297,,
EPIC 210822691,8.074,11.37,none,1.09,1.25,4.286,3.775,0.245,#ERROR!,Hoyman & Cak?rl? (2020MNRAS.493.2329H)
,,0.59,none,0.96,0.94,4.473,3.745,-0.118,,
V568 Lyr,14.47,17.34,none,1.0868,1.397,4.184,3.752,,#ERROR!,"Brogaard et al. (2011A&A...525A...2B)
Grundahl et al. (2008A&A...492..171G)"
,,0.94,none,0.8276,0.7813,4.5698,3.683,,,
V963 Cen,15.269,8.6,G1_IV-V,1.0812,1.4456,4.152,3.764,0.332,"-0.06
± 0.05",Graczyk et al. (2022A&A...666A.128G)
,,0.64,G1_IV-V,1.0753,1.4215,4.164,3.765,0.32,,
V432 Aur,3.082,8.15,none,1.08,1.23,4.29,3.825,,"-0.60
± 0.05",Siviero et al. (2004A&A...417.1083S)
,,0.7,none,1.2,2.46,3.74,3.784,,,
EPIC 219394517,6.527,11.34,G,1.0782,1.055,4.4247,3.773,0.091,#ERROR!,"Torres et al. (2018ApJ...866...67T)
[Fe/H] comes from membership of Ruprecht 147"
,,0.64,G,1.0661,1.042,4.4303,3.769,0.066,,
OGLE-BLG-ECL-305487,176.655,18.2,KO_III,1.06,19.27,1.893,3.628,2.03,"0.05
± 0.35",Suchomska et al. (2022A&A...668A..30S)
,,1.7,K2_III,0.991,29.99,1.48,3.6,2.31,,
V636 Cen,4.284,8.7,G0_V,1.052,1.018,4.444,3.771,0.05,"-0.20
± 0.08","Clausen et al. (2009A&A...502..253C)
Clausen et al. (2008A&A...487.1081C)"
,,0.62,none,0.854,0.83,4.532,3.699,-0.41,,
Kepler-34,27.796,15.04,none,1.0479,1.1618,4.3284,3.772,0.173,"-0.07
± 0.15","Welsh et al. (2012Natur.481..475W)
(hosts a transiting planet)"
,,0.63,none,1.0208,1.0927,4.3703,3.768,0.107,,
KIC 7177553,17.996,11.54,G2_V,1.043,0.94,4.517,3.763,-0.055,"-0.05
± 0.09",Lehmann et al. (2016ApJ...819...33L)
,,0.52,G2_V,0.986,0.941,4.491,3.759,-0.071,,
KIC 6525196,3.421,10.22,none,1.0351,1.0719,4.3927,3.812,,"-0.46
± 0.10","He?miniak et al. (arXiv:2303.05272)
He?miniak et al. (2017MNRAS.468.1726H)"
,,0.52,none,0.9712,1.0101,4.4166,3.806,,,
CV Boo,0.847,10.8,G2_V,1.032,1.262,4.294,3.76,0.197,,"Torres, Vaz & Lacy (2008AJ....136.2158T)"
,,0.5,G3_V,0.968,1.173,4.285,3.754,0.107,,
EBLM J0113+31,14.277,10.12,G0_V,1.029,1.417,4.148,3.787,0.406,"-0.3
± 0.1","Maxted et al. (2022MNRAS.513.6042M)
Gómez Maqueo Chew et al. (2014A&A...572A..50G)"
,,0.5,none,0.197,0.215,5.068,3.528,-2.267,,
V818 Tau,5.609,8.32,G8_V,1.0245,0.923,4.518,3.752,,"0.05
± 0.05","Brogaard et al. (2021A&A...645A..25B)
Member of the Hyades"
,,0.76,K4_V,0.7426,0.739,4.571,3.633,,,
V1174 Ori,2.635,13.95,K4.5_V,1.009,1.339,4.19,3.65,-0.193,,Stassun et al. (2004ApJS..151..357S)
,,1.24,M1.5_V,0.731,1.065,4.25,3.558,-0.761,,
V530 Ori,6.111,9.96,G1_V,1.0038,0.98,4.457,3.777,0.016,"-0.12
± 0.08",Torres et al. (2014ApJ...797...31T)
,,0.49,M1_V,0.5955,0.5873,4.676,3.589,-1.154,,
V565 Lyr,18.799,17.71,none,0.9955,1.1011,4.3524,3.748,,#ERROR!,Brogaard et al. (2011A&A...525A...2B)
,,0.93,none,0.9293,0.9708,4.4319,3.735,,,
KIC 8736245,5.069,13.95,G2_V,0.987,1.311,4.197,3.764,,,Fetherolf et al. (2019AJ....158..198F)
,,0.71,none,0.782,0.804,4.521,3.702,,,
IM Vir,1.309,9.57,G7_V,0.981,1.061,4.379,3.754,-0.012,"-0.10
± 0.25",Morales et al. (2009ApJ...707..671M)
,,0.66,K7_V,0.6644,0.681,4.594,3.628,-0.867,,
OGLE-SMC-ECL-1492,73.715,17.71,G6_III,0.97,15.9,2.02,3.697,2.149,"-0.88
± 0.09","Graczyk et al. (2020ApJ...904...13G)
Member of the SMC"
,,1.03,G8_III,0.97,25.1,1.63,3.679,2.468,,
OGLE-BLG-ECL-116218,80.586,17.59,K2_III,0.969,16.73,1.978,3.627,1.91,"-0.46
± 0.20",Suchomska et al. (2022A&A...668A..30S)
,,1.6,K3_III,0.983,22.06,1.744,3.611,2.08,,
Kepler-47,7.448,15.38,none,0.957,0.936,4.476,3.751,-0.076,"-0.25
± 0.08","Orosz et al. (2019AJ....157..174O)
Orosz et al. (2012Sci...337.1511O)"
,,0.85,none,0.342,0.338,4.914,3.526,-1.854,,
ASAS J065134-2211.5,8.22,9.83,G,0.956,0.997,4.421,3.74,-0.09,#ERROR!,He?miniak et al. (2019A&A...622A.114H)
,,0.83,none,0.674,0.69,4.589,3.599,-0.96,,
Tyc 5227-1023-1,4.306,11.86,none,0.956,1.388,4.13,3.803,,"-0.63
± 0.11",Traven et al. (2017ApJ...839...52T)
,,0.55,none,0.839,0.977,4.38,3.773,,,
KIC 4054905,274.729,13.22,none,0.9544,8.364,2.573,3.686,1.542,"-0.60
± 0.02",Brogaard et al (2022A&A...668A..82B)
,,1.04,none,0.9566,3.0911,3.4385,3.721,0.819,,
HP Aur,1.423,11.17,G2_V,0.9543,1.0278,4.3942,3.764,0.036,,Lacy et al. (2014AJ....147....1S)
,,0.68,K1_V,0.8094,0.7758,4.5669,3.713,-0.414,,
Kepler-453,27.322,13.7,none,0.944,0.833,4.571,3.742,,#ERROR!,"Welsh et al. (2015ApJ...809...26W)
(hosts a transiting planet)"
,,0.75,none,0.1951,0.215,5.063,3.509,,,
KIC 6131659,17.528,12.76,none,0.942,0.903,4.496,3.716,,"-0.23
± 0.20","Cunningham et al. (2019AJ....158..106C)
Bass et al. (2012ApJ...761..157B)"
,,0.92,none,0.703,0.616,4.705,3.617,,,
CG Cyg,0.631,10.08,G9_V,0.94,0.89,4.512,3.721,-0.26,,Popper (1994AJ....108.1091P)
,,0.86,K3_V,0.81,0.84,4.505,3.674,-0.51,,
ASAS J045021+2300.4,1.653,10.26,none,0.934,1.058,4.36,3.753,,"-0.26
± 0.26",He?miniak et al. (2021MNRAS.508.5687H)
,,0.73,none,0.409,0.408,4.829,3.555,,,
RW Lac,10.369,10.63,G5_V,0.928,1.186,4.257,3.76,0.14,-0.3,Lacy et al. (2005AJ....130.2838L)
,,0.5,G7_V,0.87,0.964,4.409,3.745,-0.1,,
EPIC 219511354,1.622,13.16,K2_V,0.912,0.92,4.47,3.702,-0.31,#ERROR!,"Torres et al. (2021ApJ...921..133T)
Metallicity comes from membership of Ruprecht 147"
,,0.94,K4_V,0.822,0.851,4.494,3.671,-0.5,,
HS Aur,9.815,10.16,G8_V,0.9,1.004,4.389,3.728,-0.13,,Popper et al. (1986AJ.....91..383P)
,,0.77,K0_V,0.879,0.873,4.5,3.716,-0.3,,
Kepler-35,20.734,15.96,none,0.8877,1.0284,4.3623,3.749,-0.027,"-0.34
± 0.20","Welsh et al. (2012Natur.481..475W)
(hosts a transiting planet)"
,,0.66,none,0.8094,0.7861,4.5556,3.716,-0.387,,
47 Tuc V69,29.54,16.84,none,0.8762,1.3148,4.143,3.775,0.292,"-0.71
± 0.10","Thompson et al. (2020MNRAS.492.4254T)
Brogaard et al. (2017MNRAS.468..645B)"
,,0.56,none,0.8588,1.1616,4.242,3.777,0.193,,
47 Tuc E32,40.913,17.15,none,0.8617,1.1834,4.227,3.78,0.217,"-0.71
± 0.10","Thompson et al. (2020MNRAS.492.4254T)
Metallicity comes from membership of 47 Tuc"
,,0.56,none,0.8268,1.0045,4.352,3.775,0.057,,
ASAS J045304-0700.4,1.622,11.24,K2_V,0.8338,0.848,4.503,3.726,-0.278,,He?miniak & Konacki (2011A&A...526A..29H)
,,0.63,K4_V,0.828,0.833,4.515,3.708,-0.365,,
NGC 6362 V40,5.296,18.22,none,0.8337,1.3253,4.55,3.789,0.356,"-1.07
± 0.05","Kaluzny et al. (2015AJ....150..155K)
[Fe/H] comes from cluster membership"
,,0.55,none,0.7947,0.997,4.361,3.785,0.093,,
ASAS J212954-5620.1,0.702,11.93,none,0.833,0.845,4.506,3.677,-0.482,,He?miniak et al. (2011A&A...527A..14H)
,,1.17,none,0.703,0.718,4.574,3.625,-0.84,,
NGC 6362 V41,17.889,18.77,none,0.8215,1.0739,4.311,3.787,0.164,"-1.07
± 0.05","Kaluzny et al. (2015AJ....150..155K)
[Fe/H] comes from cluster membership"
,,0.57,none,0.728,0.7307,4.593,3.759,-0.281,,
NGC 3201 V139,8.789,18.08,none,0.806,1.215,4.175,3.793,0.294,"-1.47
± 0.04","Rozyczka et al. (2022MNRAS.517.2485R)
Metallicity comes from membership of NGC 3201"
,,0.74,none,0.684,0.687,4.599,3.745,-0.387,,
NGC 3201 V142,27.693,17.25,none,0.804,2.212,3.654,3.772,0.731,"-1.47
± 0.04","Rozyczka et al. (2022MNRAS.517.2485R)
Metallicity comes from membership of NGC 3201"
,,0.78,none,0.664,0.693,4.588,3.744,-0.24,,
M4 V65,2.293,17.03,none,0.8035,1.147,4.221,3.785,0.21,"-1.2
± 0.1","Kaluzny et al. (2013AJ....145...43K)
[Fe/H] comes from membership of globular cluster M4"
,,0.9,none,0.605,0.611,4.645,3.682,-0.747,,
V1236 Tau,2.588,18.1,K7_V,0.787,0.788,4.54,3.623,-0.76,,Bayless & Orosz (2006ApJ...651.1155B)
,,1.37,K7_V,0.77,0.817,4.5,3.618,-0.75,,
M4 V66,8.111,16.84,none,0.7842,0.9347,4.388,3.79,0.053,"-1.2
± 0.1","Kaluzny et al. (2013AJ....145...43K)
[Fe/H] comes from membership of globular cluster M4"
,,0.88,none,0.7443,0.8298,4.469,3.774,-0.115,,
M4 V69,48.188,17.01,none,0.7665,0.8655,4.444,3.784,-0.036,"-1.2
± 0.1","Kaluzny et al. (2013AJ....145...43K)
[Fe/H] comes from membership of globular cluster M4"
,,0.9,none,0.7278,0.8074,4.483,3.772,-0.146,,
1SWASP J093010.78+533859.5,1.306,9.84,K1_V,0.766,0.757,4.564,3.699,-0.49,,Koo et al. (2014AJ....147..104K)
,,0.88,K5_V,0.644,0.743,4.505,3.627,-0.8,,
2MASS J12220147-5737565,3.072,12.85,M2e,0.7354,0.976,4.33,3.574,-0.772,,Stassun et al. (arXiv:2211.07899)
,,1.5,M2e,0.668,0.942,4.31,3.562,-0.851,,
V404 CMa,0.452,17.45,none,0.733,0.72,4.608,3.623,-0.867,,"Rozyczka et al. (2009AcA....59..385R)
Rozyczka et al. (2007AcA....57..323R)"
,,1.17,none,0.662,0.68,4.614,3.596,-1.028,,
M55 V54,9.269,18.3,none,0.726,1.006,4.294,3.796,0.14,"-1.86
± 0.15","Kaluzny et al. (2014AcA....64...11K)
Member of the cluster cluster M55"
,,0.56,none,0.555,0.528,4.737,3.701,-0.799,,
ASAS J082552-1622.8,1.528,11.45,K7_V,0.7029,0.694,4.6,3.624,-0.808,,He?miniak & Konacki (2011A&A...526A..29H)
,,1.16,M0_V,0.6872,0.699,4.585,3.611,-0.909,,
NSVS 10653195,0.561,12.5,K6_V,0.6402,0.687,4.57,3.628,-0.863,,Iglesias-Marzoa et al. (2019A&A...627A.153I)
,,1.17,K7_V,0.6511,0.672,4.597,3.613,-0.939,,
GU Boo,0.489,13.7,M1_V,0.61,0.623,4.634,3.593,-1.09,,"López-Morales & Ribas (2005ApJ...631.1120L)
Windmiller, Orosz & Etzel (2010ApJ...712.1003W)"
,,1.5,M1_V,0.599,0.62,4.63,3.581,-1.14,,
YY Gem,0.814,9.07,M1_Ve,0.5975,0.6196,4.63,3.582,-1.134,,Torres & Ribas (2002ApJ...567.1140T)
,,1.49,M1_Ve,0.6009,0.6036,4.655,3.582,-1.134,,
LP 819-72,11,10.54,K5_V,0.59,0.6,4.65,3.605,-1.07,,Maxted & Hutcheon (2018A&A...616A..38M)
,,1.76,K5_V,0.65,0.58,4.72,3.626,-1.01,,
MG1-506664,1.548,16,M1_V,0.584,0.56,4.708,3.572,-1.26,,Kraus et al. (2011ApJ...728...48K)
,,1.4,M2_V,0.544,0.513,4.753,3.558,-1.4,,
MG1-116309,0.827,16.1,K8_V,0.567,0.552,4.708,3.593,-1.19,,Kraus et al. (2011ApJ...728...48K)
,,1.4,M0_V,0.532,0.532,4.712,3.581,-1.27,,
MG1-78457,1.586,17.7,M3_V,0.527,0.505,4.753,3.522,-1.55,,Kraus et al. (2011ApJ...728...48K)
,,1.5,M4_V,0.491,0.471,4.783,3.515,-1.64,,
MG1-646680,1.638,17.3,M1_V,0.499,0.457,4.816,3.572,-1.44,,Kraus et al. (2011ApJ...728...48K)
,,1.4,M2_V,0.443,0.427,4.824,3.56,-1.55,,
THOR 42,0.859,15.17,M3.5,0.497,0.659,4.496,3.518,-1.337,,"Murphy et al. (2020MNRAS.491.4902M)
Pre-main-sequence"
,,1.53,none,0.205,0.424,4.496,3.478,-1.879,,
MG1-2056316,1.722,16.2,M2_V,0.469,0.441,4.82,3.539,-1.6,,Kraus et al. (2011ApJ...728...48K)
,,1.5,M3_V,0.382,0.374,4.874,3.521,-1.82,,
HAT-TR-318-007,3.343,16.13,M4_V,0.448,0.4548,4.774,3.504,-1.715,#ERROR!,Hartman et al. (2018AJ....155..114H)
,,1.32,M5_V,0.2721,0.2913,4.9442,3.491,-2.151,,
CU Cnc,2.771,11.89,M3.5_Ve,0.4333,0.4317,4.804,3.5,-1.778,,Ribas (2003A&A...398..239R)
,,1.4,M3.5_Ve,0.398,0.3908,4.854,3.495,-1.884,,
NGTS 0002-29,1.098,17.64,M,0.3978,0.4037,4.826,3.528,-1.72,#ERROR!,"Smith et al. (2021MNRAS.507.5991S)
Metallicity comes from membership of Blanco 1"
,,1.28,M,0.2245,0.2759,4.908,3.509,-2.12,,
PTFEB 132.707+19.810,6.016,17.89,M3.5_V,0.3953,0.363,4.915,3.513,-1.863,#ERROR!,"Kraus et al. (2017ApJ...845...72K)
[Fe/H] comes from membership of the Praesepe cluster"
,,1.66,M4.3_V,0.2098,0.272,4.891,3.494,-2.3,,
LSPM J1112+7626,41.033,14.85,M4_V,0.3946,0.386,4.861,3.486,-1.92,,Irwin et al. (2011ApJ...742..123I)
,,1.49,none,0.2745,0.2978,4.929,3.47,-2.21,,
UScoCTIO 5,34.001,16.19,M4.5_V,0.3393,0.8733,4.0859,3.515,-1.105,,"David et al. (2019ApJ...872..161D)
Kraus et al. (2015ApJ...807....3K)"
,,1.62,M4.5_V,0.3263,0.8376,4.1053,3.513,-1.146,,
KOI-126 BC,1.722,-1,M,0.2352,0.2545,4.998,3.51,-2.194,"0.15
± 0.08","Yenawine et al. (2022ApJ...924...66Y)
Carter et al. (2011Sci...331..562C)"
,,-1,M,0.2073,0.2315,5.026,3.501,-2.312,,
CM Dra,1.268,12.9,M4.5_V,0.225,0.251,4.9908,3.496,-2.258,"-0.30
± 0.12","Martin et al. (arXiv:2301.10858)
Terrien et al. (2012ApJ...760L...9T)"
,,1.6,M4.5_V,0.2101,0.2375,5.0091,3.494,-2.313,,
TOI-450,10.715,15.2,M4.5_V,0.1768,0.345,4.61,3.492,,,Tofflemire et al. (arXiv:2210.10789)
,,1.5,M4.5_V,0.1767,0.346,4.607,3.492,,,
NGTS J052218.2-250710.4,1.748,16.88,M5_V,0.1739,0.2045,5.057,3.476,,,Casewell et al. (2018MNRAS.481.1897C)
,,1.49,M5_V,0.1742,0.2168,5.007,3.477,,,
EPIC 203710387,2.809,14.3,M4.5V,0.1158,0.4317,4.231,3.483,-1.842,,"David et al. (2019ApJ...872..161D)
David et al. (2016ApJ...816...21D)"
,,1.8,M5V,0.1056,0.4236,4.207,3.483,-1.861,,
